#{"t_start": 1789589511.7280865, "env_id": "None"}
r,l,t
-63.653916,63,389.628968
-182.946424,125,391.071042
-144.879354,104,392.269163
-43.877791,48,392.825994
-50.13837,50,393.405486
-379.476735,471,398.840051
-130.737803,171,400.819004
-45.835655,45,401.335915
-44.527693,40,401.810098
-45.559236,42,402.301668
-42.748211,47,402.847401
-63.826885,57,403.511862
-61.078973,47,404.058094
-49.167999,40,404.526794
-44.950995,46,405.065767
-1008.223948,500,412.302449
-34.177413,65,413.060403
-47.229884,39,413.512131
-44.579628,46,414.04593
-170.130924,152,415.801002
-46.252767,40,416.265329
-344.68785,406,420.930377
-59.319602,49,421.497867
-45.525367,41,421.971207
-53.900191,43,422.467739
-86.719532,73,423.323233
-748.140648,500,429.115896
-46.049822,41,429.598571
-48.589942,40,430.068039
-47.976198,40,430.536253
-45.934651,39,430.995791
-47.279472,43,431.499898
-179.061481,156,434.658103
-145.111588,190,436.883931
-50.846066,45,437.405668
-46.453645,44,437.919281
-252.260847,196,440.306211
-48.525185,39,440.757998
-40.495094,50,441.338863
-46.476866,41,441.815145
-52.348377,49,442.383477
-43.320627,47,442.927734
-56.114202,47,443.47272
-39.141701,62,444.192951
-44.330287,66,444.961242
-28.465068,70,445.769907
-67.029451,50,446.347424
-271.539718,254,449.276121
-51.42575,50,449.856736
-55.585501,44,450.370182
-46.187729,39,450.823987
-38.047078,58,451.496827
-59.261755,45,452.016748
-70.159574,53,452.631696
-38.453928,56,453.280425
-51.139423,48,453.843222
-47.420573,40,454.316052
-45.478629,41,454.796739
-46.030506,38,455.240098
-57.736581,48,455.803782
-59.531988,46,456.341124
-55.800022,54,456.969184
-44.021598,40,457.436664
-47.747223,39,457.896697
-45.687383,46,459.780475
-94.232756,147,461.487674
-47.32524,41,461.968464
-44.331966,43,462.470486
-45.551729,40,462.937961
-219.824049,207,465.330367
-52.082343,47,465.876926
-65.602113,51,466.467651
-59.857341,63,467.200688
-425.952035,464,472.702317
-45.804072,40,473.166147
-109.529439,99,474.309525
-53.095989,49,474.878048
-45.602009,45,475.401932
-219.778644,273,478.550567
-43.625834,46,479.085522
-46.41169,39,479.53688
-81.83574,60,480.229083
-202.978374,202,482.557545
-51.868541,42,483.048446
-46.665759,41,484.860557
-40.699777,53,485.478899
-176.310484,201,487.800216
-220.293397,330,491.24513
-73.519926,52,491.530673
-47.269308,40,491.755988
-168.960081,129,492.469659
-55.973221,45,492.720465
-44.894531,40,492.940693
-45.58482,43,493.179295
-128.261138,500,496.094363
-161.949456,162,497.974901
-46.648394,50,498.577291
-146.399848,109,500.035753
-422.886106,500,507.149951
-43.324258,46,507.686013
-45.4818,47,508.232284
-165.477734,117,509.585682
-47.585168,40,510.05219
-138.424888,104,511.257273
-46.585283,42,511.752239
-46.114724,39,512.212604
-579.208468,500,518.016897
-42.296912,47,518.567616
-64.517489,56,519.223617
-47.603879,39,519.681193
-64.639628,50,520.266753
-66.051504,50,520.851179
-42.548279,45,521.380893
-45.631068,45,521.911457
-34.528951,73,522.756328
-36.404287,58,523.432831
-77.146532,58,524.109437
-46.922874,39,524.564434
-46.279917,40,525.035054
-149.983847,105,526.254676
-131.645225,144,527.921931
-47.678796,39,529.770744
-45.023875,47,530.35184
-63.041142,48,530.910383
-865.904701,500,536.69447
-64.987374,54,537.324024
-46.408561,40,537.790977
-46.755413,45,538.318199
-69.002657,62,539.041813
-42.488122,49,539.61275
-45.106993,45,540.137213
-52.183837,43,540.640744
-48.786698,46,541.178725
-45.813473,41,541.660751
-61.958234,58,542.337624
-45.859392,41,542.816706
-245.782221,236,545.553557
-151.747178,112,546.855248
-48.885481,51,547.450516
-44.920614,44,547.96512
-77.325375,65,548.724746
-45.987157,41,549.204101
-43.227071,42,549.695249
-47.984901,40,550.165142
-75.356036,56,550.818638
-150.620563,103,552.019023
-61.024011,60,552.720635
-38.447948,58,553.397102
-318.991475,415,559.641897
-44.050624,45,560.197779
-47.106048,39,560.657327
-46.085845,40,561.124712
-42.542907,48,561.683297
-57.796566,60,562.377603
-106.334188,107,563.612385
-48.733561,44,564.12236
-52.328684,43,564.622383
-47.641312,40,565.091744
-88.585107,83,566.050097
-46.774986,40,566.516021
-47.720723,44,567.034078
-147.131129,111,568.345465
-50.983591,42,568.832656
