#{"t_start": 1789582948.5182724, "env_id": "None"}
r,l,t
-138.916868,144,5.437116
-307.032149,381,9.905928
-284.242063,500,15.903481
-200.733915,176,17.963228
-193.868682,235,20.711017
-78.308179,133,22.303609
-302.168527,211,24.739042
-76.339782,182,26.830899
-323.451205,373,32.4825
-195.703386,213,34.945717
-91.770182,205,37.323455
-69.115996,150,39.059256
-322.428653,302,42.674446
-339.540544,401,47.303344
-202.244918,264,50.335106
-436.37346,500,57.468118
-218.452879,296,60.875714
-219.699856,221,63.430288
-126.951931,130,65.003383
-120.052876,163,66.892946
-322.202559,299,70.379447
-113.501511,100,71.616305
-127.714831,258,74.620905
-140.039997,106,75.880971
-199.010052,282,80.475772
-247.954558,246,83.310529
-761.632341,500,90.13006
-145.180606,160,92.003495
-102.324281,107,93.253321
-72.892749,99,94.401436
-746.77149,500,100.20044
-213.816291,217,102.82421
-552.077266,434,109.117985
-256.113052,242,111.890339
-346.062774,312,115.478007
-564.201048,500,122.142409
-136.721309,221,124.695671
-331.95681,297,128.150757
-811.591962,500,135.386522
-287.137226,235,138.168981
-199.528914,174,140.194458
-56.314085,122,141.596963
-114.106159,136,143.160933
-214.609206,207,145.545628
-226.138862,280,148.771725
-317.166063,500,154.659834
-132.004,132,157.524383
-246.812927,240,160.319155
-166.249265,156,162.236556
-59.188885,156,164.044421
-216.367073,222,166.599282
-211.640078,176,168.623249
-566.866622,461,173.925083
-110.714785,244,176.74883
-421.47806,355,182.142494
-150.610161,500,187.938237
-165.345061,174,189.950892
-76.973935,177,192.116719
-162.103775,171,194.088315
-112.109129,102,195.261689
-728.000836,500,201.973134
-304.922541,246,204.89956
-272.956097,266,209.291044
-106.736011,227,211.912124
-139.747563,238,214.66903
-46.328014,48,215.23065
-130.372327,196,217.5052
-328.293183,250,220.438192
-243.859795,197,222.796415
-269.769582,214,225.258422
-117.152732,96,226.388913
-205.089131,227,229.001133
-109.879162,261,233.342255
-70.275764,121,234.375455
-321.421967,286,236.048646
-362.042284,361,238.017817
-84.601896,133,238.742676
-205.336151,433,243.643663
-161.728618,192,245.872088
-247.883371,214,248.346498
-113.662628,135,249.915732
-199.943016,213,253.796795
-86.261801,152,255.5457
-142.099044,159,257.371966
-136.966916,98,258.507977
-268.508731,301,261.971773
-96.541597,120,263.359216
-98.394107,166,265.280082
-286.244238,225,267.882182
-109.261438,212,270.326666
-357.084818,500,276.095999
-338.061165,384,282.044075
-108.118066,116,283.383416
-383.692336,266,286.446096
-668.861991,500,292.201944
-123.198349,278,295.408904
-120.61521,160,297.261723
-211.794249,214,299.735312
-129.632928,243,303.973261
-847.631096,500,309.748814
-165.607686,171,311.864276
-178.192038,224,314.438217
-597.299342,500,320.169122
-153.459496,143,321.812481
-264.965727,271,324.931544
-116.221962,176,326.96548
-196.931373,185,330.412053
-154.264741,122,331.825756
-124.150453,147,333.531518
-102.287285,190,335.738964
-815.617973,500,341.621581
-219.583196,281,344.866606
-179.383876,362,349.015138
-139.895021,158,350.825421
-617.530892,500,357.93574
-554.973375,358,362.077839
-260.636138,334,365.941645
-212.286076,222,368.488653
-141.67912,165,370.403012
-493.958046,318,374.174283
-75.082361,180,376.264207
-97.312256,192,379.781851
-133.843494,167,381.704057
-125.604716,150,383.434666
-241.851526,500,389.215973
-123.823795,276,392.447253
-225.734974,278,395.708871
-150.279003,309,399.254147
-314.943595,456,405.937025
-328.012089,230,408.576082
-119.95622,312,412.162119
-215.475543,340,416.113666
-154.766415,220,418.661444
-140.408871,233,421.389639
-290.467634,275,424.585588
-212.159521,214,427.069054
-291.956905,406,433.24322
-487.048969,356,437.363632
-191.775631,203,439.700706
-266.45366,363,443.891975
-155.091887,174,445.909316
-49.59345,70,446.723548
-172.818117,226,449.337639
-531.34745,482,456.285187
-169.267117,124,457.709845
-258.970844,253,460.657296
-197.269575,256,463.713355
-130.884735,113,465.018409
-334.507069,348,469.01008
-125.242128,159,470.844538
-226.828216,270,473.954208
-184.00997,231,476.61632
-325.700552,294,481.385741
-79.915106,133,482.92484
-155.149583,331,486.725909
-46.310167,48,487.282419
-124.40909,262,490.312634
-231.348531,194,492.652651
-133.758067,211,495.082315
-165.718022,183,497.186233
-373.229974,398,501.786873
-241.192541,361,507.272054
-296.183424,274,510.49072
-646.900122,500,516.276241
-176.197019,244,519.077383
-128.307813,186,521.315379
-257.014427,214,523.812231
-480.353601,500,530.889675
-51.088837,70,531.707438
-346.955976,500,537.535949
-139.599509,254,540.475765
-301.521489,361,544.628026
-64.47999,149,546.349957
-66.91875,160,548.184908
-106.737848,100,549.336916
-237.004569,227,552.082158
-275.170672,219,555.918957
-173.613023,260,558.917909
-362.082212,393,563.457398
-167.169905,344,567.433012
-137.205446,186,569.581177
-184.388483,193,571.802168
-111.060521,117,573.14564
-223.248858,297,576.543286
-126.808521,123,579.246989
-104.903095,139,580.925355
-67.972335,158,582.817121
-359.329308,298,586.241654
-93.310319,192,588.453857
-232.764415,266,591.52529
-82.23175,144,593.188566
-141.807897,146,594.880697
-89.501087,100,596.03812
-201.745548,202,598.381181
-79.859366,153,600.148529
-407.119273,365,605.67641
-526.784448,498,611.480834
-164.041278,202,613.820899
-476.253378,447,618.967753
-125.189632,150,620.695722
-169.883545,171,622.669313
-549.754514,393,627.208687
-224.123228,244,631.349409
-220.371001,464,636.689757
-67.944237,140,638.299427
-255.798287,372,642.685388
-104.302339,117,644.035452
-126.89942,286,647.337741
-178.480315,262,650.365297
-107.093451,118,651.733077
-661.895978,500,658.94858
-140.500247,117,660.288027
-148.357204,189,662.459574
-136.542813,225,665.039837
-154.463963,164,666.926588
-61.114478,127,668.385618
-146.546329,260,671.466689
-83.490754,189,673.669919
-47.032136,113,674.975243
-95.962346,180,677.053025
-167.553418,145,680.055936
-249.797844,268,683.17028
-287.391742,386,687.627381
-97.316497,216,690.103524
-124.716335,146,691.783304
-110.680412,186,693.916983
-431.035803,391,698.404835
-118.226207,152,700.153978
-460.009195,397,706.143083
-157.208865,119,707.519797
-67.121301,150,709.25317
-226.134265,189,711.436691
-98.597072,100,712.597819
-135.340782,188,714.76857
-519.251621,419,719.579481
-205.226005,208,721.964812
-97.90575,163,723.836579
-182.530931,191,726.027275
-215.180927,348,731.452537
-113.720789,119,732.858862
-86.176569,130,734.36066
-58.812857,109,735.623151
-118.214343,261,738.646652
-104.525008,171,740.622777
-146.214557,328,744.409555
-258.804022,239,747.162079
-137.331276,139,748.7594
-183.101714,174,750.757686
-188.85404,231,754.719595
-95.591867,217,757.216752
-116.625207,135,758.778212
-228.418333,240,761.640806
-99.603525,137,763.238824
-171.892365,163,765.118778
-280.37107,471,770.69445
-217.345754,228,773.689163
-256.51016,233,776.489437
-144.997521,196,778.830277
-283.148997,234,783.040068
-96.308994,106,784.304423
-654.856706,500,790.484123
-183.51945,173,792.641936
-220.675083,193,794.929174
-79.981874,142,796.688342
-88.302908,198,799.0426
-121.508187,197,801.378484
-251.444829,188,803.649681
-452.82325,341,809.177508
-144.193202,225,811.872027
-212.471512,231,814.619308
-111.104386,258,817.690036
-119.180237,129,819.259949
-307.044091,334,823.243343
-154.80629,148,824.953734
-375.588379,309,828.531102
