step,t,car,x,y,yaw_deg,heading_err_deg,progress_cum,lateral,speed,throttle,steer,gap_ahead
30,2.000,B,3.012,-0.881,0.8,0.8,3.012,-0.881,2.868,1.000,1.000,0.647
31,2.067,A,2.507,1.033,-4.7,-4.7,2.507,1.033,2.097,-0.046,-1.000,-0.698
31,2.067,B,3.205,-0.873,1.1,1.1,3.205,-0.873,2.908,1.000,1.000,0.698
32,2.133,A,2.638,1.005,-5.9,-5.9,2.638,1.005,1.932,0.041,-1.000,-0.762
32,2.133,B,3.400,-0.854,2.1,2.1,3.399,-0.854,2.934,1.000,1.000,0.762
33,2.200,A,2.757,0.977,-6.9,-6.9,2.757,0.977,1.754,0.158,-1.000,-0.837
33,2.200,B,3.594,-0.821,3.7,3.7,3.594,-0.821,2.951,1.000,0.741,0.837
34,2.267,A,2.865,0.945,-8.2,-8.2,2.865,0.945,1.606,0.632,-1.000,-0.926
34,2.267,B,3.791,-0.777,5.7,5.7,3.791,-0.777,3.032,1.000,0.012,0.926
35,2.333,A,2.970,0.906,-9.7,-9.7,2.970,0.906,1.698,1.000,-0.790,-1.022
35,2.333,B,3.992,-0.729,7.4,7.4,3.992,-0.729,3.116,1.000,-0.256,1.022
36,2.400,A,3.082,0.864,-11.2,-11.2,3.082,0.864,1.821,1.000,-0.242,-1.117
36,2.400,B,4.199,-0.691,8.0,8.0,4.199,-0.691,3.172,1.000,-0.566,1.117
37,2.467,A,3.202,0.823,-12.3,-12.3,3.202,0.823,1.921,1.000,0.792,-1.208
37,2.467,B,4.410,-0.663,7.9,7.9,4.410,-0.663,3.208,1.000,-0.098,1.208
38,2.533,A,3.332,0.818,-10.6,-10.6,3.332,0.818,1.993,1.000,1.000,-1.295
38,2.533,B,4.627,-0.664,9.4,9.4,4.627,-0.664,3.196,1.000,-0.453,1.295
39,2.600,A,3.473,0.825,-8.4,-8.4,3.472,0.825,2.130,1.000,0.415,-1.374
39,2.600,B,4.847,-0.665,10.8,10.8,4.847,-0.665,3.257,1.000,-0.923,1.374
40,2.667,A,3.621,0.830,-6.7,-6.7,3.621,0.830,2.240,1.000,-0.816,-1.447
40,2.667,B,5.068,-0.664,10.4,10.4,5.068,-0.664,3.255,1.000,0.206,1.447
41,2.733,A,3.776,0.826,-5.7,-5.7,3.776,0.826,2.424,1.000,-0.803,-1.509
41,2.733,B,5.285,-0.658,8.9,8.9,5.285,-0.658,3.133,1.000,0.938,1.509
42,2.800,A,3.944,0.833,-4.1,-4.1,3.944,0.833,2.571,1.000,-1.000,-1.549
42,2.800,B,5.493,-0.640,8.5,8.5,5.493,-0.640,3.132,1.000,0.002,1.549
43,2.867,A,4.125,0.849,-2.1,-2.1,4.125,0.849,2.733,1.000,-1.000,-1.573
43,2.867,B,5.698,-0.615,8.6,8.6,5.698,-0.615,3.155,1.000,0.166,1.573
44,2.933,A,4.312,0.860,-1.0,-1.0,4.312,0.860,2.851,1.000,-1.000,-1.597
44,2.933,B,5.909,-0.583,8.6,8.6,5.909,-0.583,3.231,1.000,0.012,1.597
45,3.000,A,4.506,0.876,0.2,0.2,4.506,0.876,2.945,1.000,-1.000,-1.620
45,3.000,B,6.126,-0.547,8.8,8.8,6.126,-0.547,3.353,1.000,-0.054,1.620
46,3.067,A,4.707,0.895,1.3,1.3,4.707,0.895,3.056,1.000,-1.000,-1.645
46,3.067,B,6.352,-0.513,8.7,8.7,6.352,-0.513,3.472,1.000,-0.092,1.645
47,3.133,A,4.914,0.913,2.1,2.1,4.914,0.913,3.131,1.000,-1.000,-1.673
47,3.133,B,6.587,-0.482,8.4,8.4,6.587,-0.482,3.613,1.000,-0.103,1.673
48,3.200,A,5.124,0.931,2.8,2.8,5.124,0.931,3.185,1.000,-1.000,-1.709
48,3.200,B,6.833,-0.452,8.0,8.0,6.833,-0.452,3.784,1.000,-0.165,1.709
49,3.267,A,5.338,0.949,3.2,3.2,5.338,0.949,3.239,1.000,-1.000,-1.752
49,3.267,B,7.090,-0.426,7.4,7.4,7.090,-0.426,3.933,1.000,-0.091,1.752
50,3.333,A,5.555,0.968,3.6,3.6,5.555,0.968,3.290,1.000,-1.000,-1.802
50,3.333,B,7.357,-0.400,6.9,6.9,7.357,-0.400,4.079,1.000,-0.353,1.802
51,3.400,A,5.776,0.987,3.9,3.9,5.776,0.987,3.335,1.000,-1.000,-1.856
51,3.400,B,7.632,-0.378,6.3,6.3,7.632,-0.378,4.147,1.000,0.355,1.856
52,3.467,A,5.999,1.005,4.1,4.1,5.999,1.005,3.376,1.000,-1.000,-1.910
52,3.467,B,7.910,-0.361,5.5,5.5,7.909,-0.361,4.186,1.000,-0.058,1.910
53,3.533,A,6.225,1.024,4.2,4.2,6.225,1.024,3.416,1.000,-1.000,-1.966
53,3.533,B,8.191,-0.338,5.2,5.2,8.191,-0.338,4.275,1.000,-0.148,1.966
54,3.600,A,6.454,1.042,4.3,4.3,6.453,1.042,3.453,1.000,-1.000,-2.025
54,3.600,B,8.479,-0.319,4.8,4.8,8.479,-0.319,4.361,1.000,-0.069,2.025
55,3.667,A,6.685,1.060,4.4,4.4,6.684,1.060,3.490,1.000,-1.000,-2.089
55,3.667,B,8.773,-0.302,4.4,4.4,8.773,-0.302,4.462,1.000,-0.199,2.089
