step,t,car,x,y,yaw_deg,heading_err_deg,progress_cum,lateral,speed,throttle,steer,gap_ahead
30,2.000,B,2.252,0.952,-8.2,-8.2,2.252,0.952,2.251,1.000,-0.090,-0.910
31,2.067,A,3.371,-0.615,9.5,9.5,3.371,-0.615,3.183,1.000,-0.170,0.965
31,2.067,B,2.406,0.939,-7.6,-7.6,2.406,0.939,2.334,1.000,-1.000,-0.965
32,2.133,A,3.585,-0.584,9.2,9.2,3.585,-0.584,3.307,1.000,-0.383,1.023
32,2.133,B,2.562,0.915,-7.8,-7.8,2.562,0.915,2.378,0.848,-1.000,-1.023
33,2.200,A,3.807,-0.559,8.5,8.5,3.807,-0.559,3.367,1.000,0.527,1.089
33,2.200,B,2.718,0.880,-8.7,-8.7,2.718,0.880,2.408,0.939,-1.000,-1.089
34,2.267,A,4.035,-0.550,7.5,7.5,4.035,-0.550,3.422,1.000,0.261,1.163
34,2.267,B,2.872,0.870,-7.8,-7.8,2.872,0.870,2.317,1.000,0.221,-1.163
35,2.333,A,4.265,-0.543,8.0,8.0,4.265,-0.543,3.421,1.000,-0.804,1.231
35,2.333,B,3.033,0.871,-6.4,-6.4,3.033,0.871,2.473,1.000,-0.484,-1.231
36,2.400,A,4.493,-0.527,8.3,8.3,4.493,-0.527,3.410,1.000,-0.740,1.291
36,2.400,B,3.202,0.867,-5.4,-5.4,3.202,0.867,2.552,1.000,-1.000,-1.291
37,2.467,A,4.709,-0.520,8.4,8.4,4.709,-0.520,3.143,1.000,-0.372,1.326
37,2.467,B,3.384,0.863,-4.5,-4.5,3.384,0.863,2.815,1.000,-1.000,-1.326
38,2.533,A,4.918,-0.518,8.3,8.3,4.918,-0.518,3.097,1.000,-0.265,1.341
38,2.533,B,3.578,0.860,-3.7,-3.7,3.578,0.860,2.969,1.000,-1.000,-1.341
39,2.600,A,5.128,-0.516,8.4,8.4,5.128,-0.516,3.140,1.000,-0.254,1.348
39,2.600,B,3.780,0.854,-3.3,-3.3,3.780,0.854,3.057,1.000,-1.000,-1.348
40,2.667,A,5.342,-0.513,8.6,8.6,5.342,-0.513,3.203,1.000,-0.263,1.355
40,2.667,B,3.987,0.849,-2.9,-2.9,3.987,0.849,3.138,1.000,-1.000,-1.355
41,2.733,A,5.560,-0.508,8.9,8.9,5.560,-0.508,3.282,1.000,-0.299,1.362
41,2.733,B,4.198,0.845,-2.4,-2.4,4.198,0.845,3.200,1.000,-1.000,-1.362
42,2.800,A,5.783,-0.504,9.0,9.0,5.783,-0.504,3.323,1.000,-0.268,1.367
42,2.800,B,4.415,0.842,-2.0,-2.0,4.415,0.842,3.296,1.000,-1.000,-1.367
43,2.867,A,6.010,-0.499,9.2,9.2,6.010,-0.499,3.404,1.000,-0.327,1.373
43,2.867,B,4.637,0.840,-1.7,-1.7,4.637,0.840,3.341,1.000,-1.000,-1.373
44,2.933,A,6.241,-0.495,9.4,9.4,6.241,-0.495,3.439,1.000,-0.294,1.378
44,2.933,B,4.863,0.838,-1.4,-1.4,4.863,0.838,3.431,1.000,-1.000,-1.378
45,3.000,A,6.476,-0.491,9.6,9.6,6.476,-0.491,3.520,1.000,-0.360,1.382
45,3.000,B,5.094,0.836,-1.2,-1.2,5.094,0.836,3.470,1.000,-1.000,-1.382
46,3.067,A,6.714,-0.488,9.8,9.8,6.714,-0.488,3.551,1.000,-0.332,1.385
46,3.067,B,5.329,0.834,-1.0,-1.0,5.329,0.834,3.547,1.000,-1.000,-1.385
47,3.133,A,6.956,-0.486,10.0,10.0,6.956,-0.486,3.612,1.000,-0.354,1.388
47,3.133,B,5.568,0.832,-0.9,-0.9,5.568,0.832,3.611,1.000,-1.000,-1.388
48,3.200,A,7.202,-0.483,10.1,10.1,7.202,-0.483,3.667,1.000,-0.357,1.390
48,3.200,B,5.812,0.831,-0.7,-0.7,5.812,0.831,3.683,1.000,-1.000,-1.390
49,3.267,A,7.452,-0.480,10.3,10.3,7.452,-0.480,3.728,1.000,-0.376,1.393
49,3.267,B,6.060,0.830,-0.6,-0.6,6.060,0.830,3.746,1.000,-1.000,-1.393
50,3.333,A,7.707,-0.477,10.4,10.4,7.707,-0.477,3.779,1.000,-0.372,1.394
50,3.333,B,6.312,0.829,-0.5,-0.5,6.312,0.829,3.816,1.000,-1.000,-1.394
51,3.400,A,7.965,-0.475,10.6,10.6,7.965,-0.475,3.839,1.000,-0.397,1.396
51,3.400,B,6.569,0.828,-0.4,-0.4,6.569,0.828,3.876,1.000,-1.000,-1.396
52,3.467,A,8.227,-0.473,10.7,10.7,8.227,-0.473,3.888,1.000,-0.391,1.398
52,3.467,B,6.830,0.828,-0.3,-0.3,6.829,0.828,3.941,1.000,-1.000,-1.398
53,3.533,A,8.493,-0.471,10.9,10.9,8.493,-0.471,3.944,1.000,-0.411,1.399
53,3.533,B,7.094,0.827,-0.3,-0.3,7.094,0.827,4.001,1.000,-1.000,-1.399
54,3.600,A,8.763,-0.469,11.0,11.0,8.763,-0.469,3.998,1.000,-0.425,1.400
54,3.600,B,7.363,0.826,-0.2,-0.2,7.363,0.826,4.057,1.000,-1.000,-1.400
55,3.667,A,9.037,-0.468,11.1,11.1,9.036,-0.468,4.044,1.000,-0.416,1.401
55,3.667,B,7.636,0.825,-0.2,-0.2,7.636,0.825,4.120,1.000,-1.000,-1.401
56,3.733,A,9.314,-0.468,11.3,11.3,9.314,-0.468,4.098,1.000,-0.436,1.401
56,3.733,B,7.912,0.824,-0.2,-0.2,7.912,0.824,4.178,1.000,-1.000,-1.401
57,3.800,A,9.595,-0.467,11.4,11.4,9.595,-0.467,4.145,1.000,-0.439,1.402
57,3.800,B,8.193,0.823,-0.2,-0.2,8.193,0.823,4.233,1.000,-1.000,-1.402
58,3.867,A,9.879,-0.466,11.5,11.5,9.879,-0.466,4.201,1.000,-0.456,1.403
58,3.867,B,8.477,0.822,-0.2,-0.2,8.477,0.822,4.287,0.987,-1.000,-1.403
59,3.933,A,10.167,-0.466,11.6,11.6,10.167,-0.466,4.248,1.000,-0.466,1.403
