car,step,t_s,lap,lap_dist_m,sector,x_m,y_m,lateral_m,speed_mps,accel_long_mps2,accel_lat_mps2,throttle_cmd,steer_cmd,steer_deg,gap_m
Car A,21,1.4,1,3.484,1,3.484,-0.906,-0.906,2.3396,2.0106,0.4694,1.0,0.3308,8.49,1.997
Car B,21,1.4,1,1.488,1,1.488,1.002,1.002,2.1963,1.0672,0.5776,1.0,0.2582,13.706,-1.997
Car A,22,1.4667,1,3.632,1,3.632,-0.84,-0.84,2.4738,2.0133,0.5089,1.0,0.2886,8.269,1.995
Car B,22,1.4667,1,1.637,1,1.637,0.978,0.978,2.3035,1.6078,0.3815,1.0,0.2941,6.467,-1.995
Car A,23,1.5333,1,3.787,1,3.787,-0.769,-0.769,2.6097,2.0392,0.5148,1.0,0.1607,7.217,1.993
Car B,23,1.5333,1,1.794,1,1.794,0.951,0.951,2.4389,2.0312,0.446,1.0,-0.1407,7.35,-1.993
Car A,24,1.6,1,3.951,1,3.951,-0.696,-0.696,2.7391,1.9404,0.3258,1.0,-0.1949,4.022,1.993
Car B,24,1.6,1,1.957,1,1.958,0.921,0.921,2.52,1.2174,0.0535,1.0,-0.1309,-3.501,-1.993
Car A,25,1.6667,1,4.123,1,4.123,-0.624,-0.624,2.8177,1.179,-0.1031,1.0,-0.5077,-4.858,1.998
Car B,25,1.6667,1,2.125,1,2.125,0.881,0.881,2.6306,1.6577,-0.2191,1.0,-0.5615,-3.273,-1.998
Car A,26,1.7333,1,4.302,1,4.302,-0.561,-0.561,2.8629,0.6784,-0.612,1.0,-0.7668,-12.679,2.005
Car B,26,1.7333,1,2.297,1,2.297,0.832,0.832,2.69,0.8917,-0.6233,1.0,-0.5615,-14.021,-2.005
Car A,27,1.8,1,4.491,1,4.491,-0.517,-0.517,2.8071,-0.8379,1.4522,1.0,-1.0,-19.159,2.027
Car B,27,1.8,1,2.464,1,2.464,0.783,0.783,2.4004,-4.3446,0.3967,1.0,1.0,-14.038,-2.027
Car A,28,1.8667,1,4.684,1,4.684,-0.499,-0.499,2.7938,-0.1994,0.2746,1.0,-1.0,-24.991,2.062
Car B,28,1.8667,1,2.622,1,2.622,0.755,0.755,2.4168,0.2467,0.4518,1.0,1.0,24.941,-2.062
Car A,29,1.9333,1,4.877,1,4.877,-0.484,-0.484,2.7616,-0.4823,-0.7838,1.0,-1.0,-25.0,2.093
Car B,29,1.9333,1,2.784,1,2.784,0.733,0.733,2.4533,0.5479,1.0156,1.0,0.2184,24.999,-2.093
Car A,30,2.0,1,5.069,1,5.07,-0.471,-0.471,2.7394,-0.333,-0.8942,1.0,-0.9421,-25.0,2.119
Car B,30,2.0,1,2.95,1,2.95,0.722,0.722,2.3947,-0.8794,1.3981,1.0,-0.1517,5.489,-2.119
Car A,31,2.0667,1,5.266,1,5.266,-0.476,-0.476,2.8351,1.4358,-1.5411,1.0,-0.871,-23.554,2.155
Car B,31,2.0667,1,3.112,1,3.112,0.732,0.732,2.4279,0.4971,1.2281,1.0,-0.8328,-3.779,-2.155
Car A,32,2.1333,1,5.466,1,5.466,-0.484,-0.484,2.9205,1.281,-1.8013,1.0,-0.6679,-21.776,2.189
Car B,32,2.1333,1,3.278,1,3.278,0.755,0.755,2.5134,1.2831,1.1562,1.0,-1.0,-20.795,-2.189
Car A,33,2.2,1,5.67,1,5.67,-0.477,-0.477,3.005,1.2675,-1.4958,1.0,-0.3863,-16.706,2.223
Car B,33,2.2,1,3.448,1,3.448,0.771,0.771,2.5479,0.5181,1.21,1.0,-1.0,-24.993,-2.223
Car A,34,2.2667,1,5.876,1,5.876,-0.459,-0.459,3.0869,1.2276,-1.4392,1.0,-0.2954,-9.669,2.256
Car B,34,2.2667,1,3.62,1,3.62,0.788,0.788,2.6144,0.9965,0.9825,1.0,-1.0,-25.0,-2.256
Car A,35,2.3333,1,6.085,1,6.085,-0.43,-0.43,3.1848,1.4684,-0.9943,1.0,-0.3686,-7.388,2.286
Car B,35,2.3333,1,3.798,1,3.798,0.798,0.798,2.6931,1.1811,0.3618,1.0,-1.0,-25.0,-2.286
Car A,36,2.4,1,6.3,1,6.3,-0.402,-0.402,3.278,1.3976,-1.1668,1.0,-0.2928,-9.212,2.32
Car B,36,2.4,1,3.98,1,3.98,0.797,0.797,2.7434,0.7548,-0.1701,1.0,-1.0,-25.0,-2.32
Car A,37,2.4667,1,6.521,1,6.521,-0.377,-0.377,3.3865,1.6278,-1.0159,1.0,-0.288,-7.324,2.357
Car B,37,2.4667,1,4.164,1,4.164,0.785,0.785,2.7771,0.5045,-0.6815,0.9678,-1.0,-25.0,-2.357
Car A,38,2.5333,1,6.751,1,6.751,-0.353,-0.353,3.5076,1.8171,-0.9745,1.0,-0.2599,-7.199,2.402
Car B,38,2.5333,1,4.349,1,4.349,0.76,0.76,2.7965,0.2908,-1.1448,0.9411,-1.0,-25.0,-2.402
Car A,39,2.6,1,6.99,1,6.99,-0.331,-0.331,3.6489,2.1197,-0.8467,1.0,-0.2467,-6.499,2.456
Car B,39,2.6,1,4.534,1,4.534,0.722,0.722,2.8124,0.2389,-1.5601,1.0,-1.0,-25.0,-2.456
Car A,40,2.6667,1,7.238,1,7.238,-0.31,-0.31,3.7822,1.9985,-0.8673,1.0,-0.225,-6.169,2.519
Car B,40,2.6667,1,4.719,1,4.719,0.669,0.669,2.8525,0.6016,-1.8895,1.0,-0.6326,-25.0,-2.519
Car A,41,2.7333,1,7.496,1,7.496,-0.293,-0.293,3.919,2.0533,-0.8564,1.0,-0.1835,-5.626,2.589
Car B,41,2.7333,1,4.906,1,4.906,0.61,0.61,2.9705,1.7704,-1.4676,1.0,-0.4735,-15.829,-2.589
Car A,42,2.8,1,7.762,1,7.762,-0.276,-0.276,4.0547,2.0347,-0.7832,1.0,-0.1545,-4.59,2.659
Car B,42,2.8,1,5.103,1,5.103,0.552,0.552,3.1091,2.0792,-1.126,1.0,-0.3186,-11.845,-2.659
Car A,43,2.8667,1,8.038,1,8.038,-0.261,-0.261,4.1922,2.0623,-0.7051,1.0,-0.1376,-3.865,2.73
Car B,43,2.8667,1,5.308,1,5.308,0.494,0.494,3.2394,1.9538,-0.8671,1.0,1.0,-7.97,-2.73
Car A,44,2.9333,1,8.323,1,8.323,-0.247,-0.247,4.3309,2.0803,-0.6704,1.0,-0.1563,-3.441,2.803
Car B,44,2.9333,1,5.519,1,5.519,0.44,0.44,3.2853,0.6881,-0.2454,1.0,1.0,24.95,-2.803
Car A,45,3.0,1,8.617,1,8.617,-0.236,-0.236,4.4633,1.9864,-0.7858,1.0,-0.2031,-3.907,2.882
Car B,45,3.0,1,5.735,1,5.735,0.394,0.394,3.3235,0.5734,0.4499,1.0,1.0,24.999,-2.882
Car A,46,3.0667,1,8.919,1,8.919,-0.23,-0.23,4.5785,1.7278,-1.0331,1.0,-0.2295,-5.075,2.964
Car B,46,3.0667,1,5.955,1,5.955,0.361,0.361,3.3471,0.3535,1.0213,1.0,1.0,25.0,-2.964
Car A,47,3.1333,1,9.229,1,9.229,-0.232,-0.232,4.6922,1.7062,-1.2682,1.0,0.3883,-5.737,3.05
Car B,47,3.1333,1,6.179,1,6.179,0.341,0.341,3.3616,0.2189,1.5256,1.0,1.0,25.0,-3.05
Car A,48,3.2,1,9.544,1,9.544,-0.234,-0.234,4.7382,0.6898,-0.331,1.0,-0.2157,9.682,3.139
Car B,48,3.2,1,6.406,1,6.406,0.336,0.336,3.3739,0.1836,1.9703,1.0,1.0,25.0,-3.139
Car A,49,3.2667,1,9.861,1,9.861,-0.232,-0.232,4.7622,0.3593,-0.753,1.0,-0.1282,-5.369,3.227
Car B,49,3.2667,1,6.634,1,6.634,0.345,0.345,3.3918,0.2687,2.3544,1.0,0.0752,25.0,-3.227
Car A,50,3.3333,1,10.183,1,10.183,-0.239,-0.239,4.8777,1.7324,-0.7972,1.0,0.1289,-3.208,3.319
Car B,50,3.3333,1,6.864,1,6.864,0.362,0.362,3.4568,0.9748,1.8173,1.0,-0.3502,1.916,-3.319
Car A,51,3.4,1,10.511,1,10.511,-0.243,-0.243,4.9338,0.8418,0.0609,1.0,0.0117,3.212,3.412
Car B,51,3.4,1,7.099,1,7.099,0.371,0.371,3.5334,1.1489,0.6981,1.0,-1.0,-8.738,-3.412
Car A,52,3.4667,1,10.844,1,10.844,-0.241,-0.241,5.0427,1.633,0.0438,1.0,-0.0452,0.297,3.508
Car B,52,3.4667,1,7.336,1,7.336,0.368,0.368,3.5713,0.5688,-0.1179,1.0,-1.0,-24.974,-3.508
Car A,53,3.5333,1,11.185,1,11.185,-0.243,-0.243,5.1633,1.8095,-0.2993,1.0,-0.074,-1.129,3.61
Car B,53,3.5333,1,7.574,1,7.575,0.352,0.352,3.5967,0.3814,-0.7785,1.0,-0.6651,-25.0,-3.61
Car A,54,3.6,1,11.534,1,11.534,-0.249,-0.249,5.2922,1.9331,-0.5401,1.0,0.1363,-1.849,3.72
Car B,54,3.6,1,7.814,1,7.814,0.324,0.324,3.6207,0.359,-1.3423,0.9849,-0.4433,-16.639,-3.72
Car A,55,3.6667,1,11.89,1,11.89,-0.254,-0.254,5.3424,0.7539,0.354,1.0,-0.0392,3.4,3.833
Car B,55,3.6667,1,8.057,1,8.057,0.285,0.285,3.7194,1.4804,-1.4444,0.8807,-0.0334,-11.09,-3.833
Car A,56,3.7333,1,12.247,1,12.247,-0.254,-0.254,5.3976,0.8285,-0.2159,1.0,0.0337,-0.973,3.943
Car B,56,3.7333,1,8.305,1,8.305,0.244,0.244,3.7866,1.009,-0.703,1.0,0.7123,-0.851,-3.943
