car,step,t_s,lap,lap_dist_m,sector,x_m,y_m,lateral_m,speed_mps,accel_long_mps2,accel_lat_mps2,throttle_cmd,steer_cmd,steer_deg,gap_m
Car B,758,50.5333,3,7.519,1,7.519,-0.076,-0.076,6.002,-0.0182,-0.0177,1.0,0.0027,0.029,-18.471
Car A,759,50.6,3,26.383,1,25.264,3.083,-0.031,5.8434,-0.0402,4.828,1.0,1.0,24.999,18.463
Car B,759,50.6,3,7.92,1,7.92,-0.076,-0.076,6.0022,0.0025,-0.0027,1.0,0.0035,0.064,-18.463
Car A,760,50.6667,3,26.77,1,25.454,3.425,-0.043,5.8408,-0.0385,4.8346,1.0,1.0,24.999,18.45
Car B,760,50.6667,3,8.32,1,8.32,-0.077,-0.077,6.0009,-0.019,0.0072,1.0,0.0042,0.084,-18.45
Car A,761,50.7333,3,27.161,1,25.625,3.778,-0.065,5.8383,-0.0376,4.8403,1.0,1.0,24.999,18.441
Car B,761,50.7333,3,8.72,1,8.72,-0.077,-0.077,6.0003,-0.0089,0.0158,1.0,0.0052,0.101,-18.441
Car A,762,50.8,3,27.542,1,25.776,4.139,-0.069,5.8359,-0.0369,4.8436,1.0,1.0,24.999,18.422
Car B,762,50.8,3,9.12,1,9.12,-0.077,-0.077,6.0004,0.0015,0.0171,1.0,0.006,0.126,-18.422
Car A,763,50.8667,3,27.931,1,25.906,4.508,-0.11,5.8335,-0.0357,4.847,1.0,1.0,24.999,18.411
Car B,763,50.8667,3,9.52,1,9.52,-0.077,-0.077,5.9998,-0.009,0.0248,1.0,0.0076,0.146,-18.411
Car A,764,50.9333,3,28.322,1,26.016,4.884,-0.129,5.8311,-0.0353,4.8478,1.0,0.6662,24.999,18.402
Car B,764,50.9333,3,9.92,1,9.92,-0.077,-0.077,6.0002,0.006,0.0239,1.0,0.0088,0.185,-18.402
Car A,765,51.0,3,28.69,1,26.105,5.265,-0.163,5.8382,0.1053,4.7934,1.0,1.0,16.667,18.37
Car B,765,51.0,3,10.32,1,10.32,-0.077,-0.077,5.9992,-0.0144,0.0323,1.0,0.0096,0.213,-18.37
Car A,766,51.0667,3,29.08,1,26.174,5.65,-0.201,5.8351,-0.0457,4.8543,1.0,0.5961,24.987,18.36
Car B,766,51.0667,3,10.72,1,10.72,-0.077,-0.077,5.9985,-0.0117,0.0427,1.0,0.0099,0.234,-18.36
Car A,767,51.1333,3,29.455,1,26.222,6.04,-0.222,5.8683,0.4972,4.6266,1.0,0.4571,14.917,18.335
Car B,767,51.1333,3,11.12,1,11.12,-0.076,-0.076,5.9974,-0.0155,0.0454,1.0,0.008,0.242,-18.335
Car A,768,51.2,3,29.848,1,26.256,6.433,-0.256,5.9213,0.7957,4.0068,1.0,0.2918,11.432,18.328
Car B,768,51.2,3,11.52,1,11.52,-0.075,-0.075,5.9949,-0.0371,0.0737,1.0,0.0024,0.198,-18.328
Car A,769,51.2667,3,30.245,1,26.281,6.83,-0.281,5.9849,0.9534,2.7149,1.0,-0.1064,7.302,18.326
Car B,769,51.2667,3,11.919,1,11.919,-0.074,-0.074,5.9949,-0.0002,0.0245,1.0,-0.0015,0.065,-18.326
Car A,770,51.3333,3,30.644,1,26.308,7.229,-0.308,5.9981,0.199,1.1648,1.0,0.1051,-2.644,18.325
Car B,770,51.3333,3,12.319,1,12.319,-0.072,-0.072,5.9966,0.0249,0.0272,1.0,-0.0037,-0.031,-18.325
Car A,771,51.4,3,31.042,1,26.338,7.627,-0.338,5.9394,-0.8817,1.0703,1.0,0.0571,2.614,18.323
Car B,771,51.4,3,12.719,1,12.719,-0.071,-0.071,5.9994,0.0418,0.0105,1.0,-0.001,-0.088,-18.323
Car A,772,51.4667,3,31.437,1,26.366,8.022,-0.366,5.9553,0.2384,0.5923,1.0,0.1025,1.415,18.318
Car B,772,51.4667,3,13.119,1,13.119,-0.07,-0.07,6.005,0.085,-0.026,1.0,0.0012,-0.028,-18.318
Car A,773,51.5333,3,31.834,1,26.391,8.419,-0.391,5.9536,-0.025,1.0301,1.0,0.0534,2.556,18.315
Car B,773,51.5333,3,13.519,1,13.519,-0.069,-0.069,6.002,-0.045,0.009,1.0,-0.0015,0.027,-18.315
Car A,774,51.6,3,32.233,1,26.413,8.818,-0.413,5.9919,0.574,0.5234,1.0,0.1036,1.337,18.314
Car B,774,51.6,3,13.919,1,13.919,-0.067,-0.067,5.9986,-0.0512,0.0235,1.0,-0.0064,-0.033,-18.314
Car A,775,51.6667,3,32.632,1,26.431,9.217,-0.431,6.0014,0.1438,1.0013,1.0,0.0345,2.588,18.313
Car B,775,51.6667,3,14.319,1,14.319,-0.066,-0.066,5.9962,-0.0359,0.0802,1.0,-0.0104,-0.149,-18.313
Car A,776,51.7333,3,33.032,1,26.448,9.617,-0.448,6.0256,0.363,0.3633,1.0,0.1058,0.855,18.313
Car B,776,51.7333,3,14.72,1,14.72,-0.065,-0.065,6.0019,0.0844,-0.0145,1.0,-0.0076,-0.248,-18.313
Car A,777,51.8,3,33.433,1,26.462,10.018,-0.462,6.0167,-0.1336,0.9963,1.0,-0.0807,2.642,18.313
Car B,777,51.8,3,15.12,1,15.12,-0.065,-0.065,6.0078,0.0886,-0.054,1.0,0.0158,-0.188,-18.313
Car A,778,51.8667,3,33.834,1,26.475,10.419,-0.475,6.0184,0.0252,-0.0821,1.0,0.1136,-2.011,18.314
Car B,778,51.8667,3,15.52,1,15.52,-0.063,-0.063,5.995,-0.1916,0.0529,1.0,0.0035,0.376,-18.314
Car A,779,51.9333,3,34.235,1,26.49,10.82,-0.49,6.0155,-0.0437,0.5514,1.0,0.0438,2.832,18.315
Car B,779,51.9333,3,15.92,1,15.92,-0.061,-0.061,5.9926,-0.0362,0.0865,1.0,-0.0049,0.094,-18.315
Car A,780,52.0,3,34.636,1,26.5,11.221,-0.5,6.0332,0.2661,0.3764,1.0,0.2135,1.082,18.317
Car B,780,52.0,3,16.32,1,16.32,-0.06,-0.06,5.9993,0.1002,0.005,0.8987,0.0424,-0.118,-18.317
Car A,781,52.0667,3,35.038,1,26.507,11.623,-0.507,6.0295,-0.0561,1.0735,1.0,-0.0024,5.33,18.325
Car B,781,52.0667,3,16.713,1,16.713,-0.056,-0.056,5.841,-2.3734,0.3571,0.9232,-0.043,1.058,-18.325
Car A,782,52.1333,3,35.44,1,26.509,12.025,-0.509,6.0297,0.0029,0.1021,1.0,1.0,-0.052,18.341
Car B,782,52.1333,3,17.099,1,17.099,-0.053,-0.053,5.7437,-1.4601,-0.3544,1.0,1.0,-1.073,-18.341
Car A,783,52.2,3,35.842,1,26.51,12.427,-0.51,6.0255,-0.0635,0.7776,1.0,0.9511,24.962,18.36
Car B,783,52.2,3,17.481,1,17.481,-0.049,-0.049,5.7435,-0.0024,0.429,1.0,0.9436,24.961,-18.36
Car A,784,52.2667,3,36.243,1,26.498,12.828,-0.498,6.0087,-0.2509,1.8783,1.0,0.9876,23.78,18.379
Car B,784,52.2667,3,17.864,1,17.864,-0.034,-0.034,5.7333,-0.154,1.5073,1.0,0.979,23.592,-18.379
Car A,785,52.3333,3,36.642,1,26.471,13.227,-0.471,5.9947,-0.2107,2.5426,1.0,0.8928,24.688,18.398
Car B,785,52.3333,3,18.245,1,18.245,-0.002,-0.002,5.7233,-0.1491,2.2273,1.0,0.4454,24.473,-18.398
Car A,786,52.4,3,37.04,1,26.427,13.625,-0.427,5.9831,-0.1739,3.0375,1.0,0.522,22.322,18.416
Car B,786,52.4,3,18.624,1,18.624,0.045,0.045,5.7269,0.0537,2.7177,0.2705,-1.0,11.155,-18.416
Car A,787,52.4667,3,37.415,1,26.365,14.02,-0.365,5.9771,-0.0892,3.4076,1.0,1.0,13.065,18.418
Car B,787,52.4667,3,18.997,1,18.997,0.099,0.099,5.5847,-2.1332,1.7078,1.0,-0.1472,-24.946,-18.418
Car A,788,52.5333,3,37.802,1,26.285,14.411,-0.317,5.9658,-0.1707,3.737,1.0,1.0,24.981,18.435
Car B,788,52.5333,3,19.367,1,19.367,0.147,0.147,5.6031,0.2756,0.5885,1.0,-1.0,-3.712,-18.435
Car A,789,52.6,3,38.195,1,26.187,14.797,-0.249,5.9562,-0.1439,3.9804,1.0,1.0,24.999,18.457
Car B,789,52.6,3,19.738,1,19.738,0.185,0.185,5.6021,-0.0146,-0.5184,1.0,0.8126,-24.968,-18.457
Car A,790,52.6667,3,38.556,1,26.07,15.178,-0.195,5.9475,-0.1296,4.1692,1.0,1.0,25.0,18.431
Car B,790,52.6667,3,20.125,1,20.108,0.223,0.213,5.5808,-0.3196,0.1662,1.0,1.0,20.246,-18.431
Car A,791,52.7333,3,38.951,1,25.933,15.552,-0.15,5.9399,-0.1146,4.3157,1.0,1.0,24.999,18.454
Car B,791,52.7333,3,20.498,1,20.478,0.265,0.226,5.5816,0.012,1.1395,1.0,1.0,24.991,-18.454
Car A,792,52.8,3,39.33,1,25.778,15.918,-0.091,5.9331,-0.1023,4.4318,1.0,1.0,24.999,18.461
Car B,792,52.8,3,20.868,1,20.846,0.324,0.257,5.5731,-0.128,1.8999,1.0,0.9313,25.0,-18.461
Car A,793,52.8667,3,39.726,1,25.604,16.275,-0.067,5.9269,-0.0918,4.5218,1.0,1.0,24.999,18.445
Car B,793,52.8667,3,21.281,1,21.21,0.399,0.252,5.5659,-0.107,2.5007,1.0,1.0,23.285,-18.445
Car A,794,52.9333,3,40.121,1,25.412,16.622,-0.022,5.9213,-0.0845,4.5906,1.0,1.0,24.999,18.468
Car B,794,52.9333,3,21.653,1,21.57,0.489,0.256,5.5581,-0.1169,2.999,1.0,1.0,24.997,-18.468
Car A,795,53.0,3,40.515,1,25.201,16.959,0.001,5.9162,-0.0762,4.6469,1.0,1.0,24.999,18.45
Car B,795,53.0,3,22.065,1,21.926,0.597,0.253,5.5514,-0.1005,3.3906,1.0,1.0,25.0,-18.45
Car A,796,53.0667,3,40.911,1,24.973,17.283,0.026,5.9115,-0.0705,4.6915,1.0,1.0,24.999,18.475
Car B,796,53.0667,3,22.436,1,22.276,0.722,0.235,5.5459,-0.0829,3.7008,1.0,1.0,25.0,-18.475
Car A,797,53.1333,3,41.314,1,24.728,17.594,0.052,5.9071,-0.0671,4.724,1.0,1.0,24.999,18.469
Car B,797,53.1333,3,22.845,1,22.618,0.866,0.236,5.5416,-0.0653,3.9425,1.0,1.0,25.0,-18.469
Car A,798,53.2,3,41.71,1,24.467,17.892,0.057,5.903,-0.0614,4.7533,1.0,1.0,24.999,18.496
Car B,798,53.2,3,23.214,1,22.953,1.027,0.199,5.5384,-0.0471,4.1315,1.0,1.0,24.999,-18.496
Car A,799,53.2667,3,42.105,1,24.191,18.175,0.084,5.8991,-0.0587,4.7745,1.0,1.0,24.999,18.519
Car B,799,53.2667,3,23.585,1,23.278,1.206,0.181,5.5364,-0.0306,4.2822,1.0,1.0,24.999,-18.519
Car A,800,53.3333,3,42.513,1,23.899,18.442,0.072,5.8953,-0.0567,4.7905,1.0,1.0,24.999,18.53
Car B,800,53.3333,3,23.983,1,23.593,1.403,0.152,5.5351,-0.0184,4.4003,1.0,1.0,24.999,-18.53
Car A,801,53.4,3,42.908,1,23.593,18.692,0.08,5.8917,-0.0533,4.804,1.0,1.0,24.999,18.555
Car B,801,53.4,3,24.353,1,23.897,1.617,0.118,5.5346,-0.0084,4.4945,1.0,1.0,24.999,-18.555
Car A,802,53.4667,3,43.316,1,23.275,18.926,0.07,5.8882,-0.0522,4.8144,1.0,1.0,24.999,18.576
Car B,802,53.4667,3,24.74,1,24.188,1.847,0.1,5.5346,0.0007,4.5705,1.0,1.0,24.999,-18.576
Car A,803,53.5333,3,43.711,1,22.944,19.141,0.059,5.8849,-0.0501,4.8232,1.0,1.0,24.999,18.603
Car B,803,53.5333,3,25.108,1,24.466,2.094,0.049,5.5352,0.0083,4.6311,1.0,1.0,24.999,-18.603
Car A,804,53.6,3,44.115,1,22.602,19.338,0.054,5.8816,-0.0488,4.8303,1.0,1.0,24.999,18.636
Car B,804,53.6,3,25.479,1,24.729,2.356,0.019,5.5361,0.0141,4.6804,1.0,1.0,24.999,-18.636
Car A,805,53.6667,3,44.508,1,22.25,19.516,0.024,5.8785,-0.0476,4.8351,1.0,1.0,24.999,18.659
Car B,805,53.6667,3,25.85,1,24.977,2.633,-0.021,5.5373,0.018,4.7182,1.0,1.0,24.999,-18.659
Car A,806,53.7333,3,44.902,2,21.889,19.674,0.016,5.8754,-0.0458,4.8395,1.0,1.0,24.999,18.683
Car B,806,53.7333,3,26.219,1,25.209,2.924,-0.067,5.5388,0.0223,4.75,1.0,1.0,24.999,-18.683
Car A,807,53.8,3,45.296,2,21.52,19.812,-0.025,5.8724,-0.0458,4.8421,1.0,1.0,24.999,18.706
Car B,807,53.8,3,26.59,1,25.423,3.228,-0.091,5.5405,0.0249,4.774,1.0,1.0,24.999,-18.706
Car A,808,53.8667,3,45.689,2,21.145,19.93,-0.052,5.8694,-0.0442,4.8444,1.0,0.2938,24.999,18.746
Car B,808,53.8667,3,26.943,1,25.62,3.544,-0.15,5.5423,0.0277,4.7954,1.0,1.0,24.999,-18.746
Car A,809,53.9333,3,46.071,2,20.764,20.034,-0.094,5.9165,0.7061,3.0668,1.0,0.9198,7.372,18.758
Car B,809,53.9333,3,27.313,1,25.798,3.871,-0.19,5.5442,0.0289,4.8111,1.0,1.0,24.999,-18.758
Car A,810,54.0,3,46.46,2,20.382,20.135,-0.164,5.9088,-0.1159,3.2248,1.0,0.6807,22.969,18.809
Car B,810,54.0,3,27.651,1,25.957,4.208,-0.23,5.5462,0.0301,4.8239,1.0,1.0,24.999,-18.809
Car A,811,54.0667,3,46.834,2,19.996,20.216,-0.216,5.9009,-0.1174,3.5794,1.0,0.931,17.025,18.815
Car B,811,54.0667,3,28.019,1,26.097,4.554,-0.284,5.5483,0.0307,4.8339,1.0,1.0,24.999,-18.815
Car A,812,54.1333,3,47.223,2,19.607,20.28,-0.28,5.8922,-0.1319,3.869,1.0,0.5564,23.266,18.833
Car B,812,54.1333,3,28.391,1,26.216,4.907,-0.318,5.5504,0.0313,4.841,1.0,1.0,24.999,-18.833
Car A,813,54.2,3,47.615,2,19.215,20.324,-0.324,5.8942,0.0305,4.0323,1.0,0.213,13.924,18.907
Car B,813,54.2,3,28.708,1,26.314,5.266,-0.371,5.5525,0.032,4.8488,1.0,1.0,24.999,-18.907
Car A,814,54.2667,3,48.009,2,18.821,20.358,-0.358,5.9327,0.5781,2.3724,1.0,-0.2331,5.337,18.931
Car B,814,54.2667,3,29.078,1,26.391,5.631,-0.419,5.5546,0.0314,4.8536,1.0,1.0,24.999,-18.931
Car A,815,54.3333,3,48.403,2,18.427,20.399,-0.399,5.9465,0.2062,0.7459,1.0,0.0798,-5.811,18.988
Car B,815,54.3333,3,29.415,1,26.447,6.0,-0.447,5.5567,0.0317,4.8578,1.0,1.0,24.999,-18.988
Car A,816,54.4,3,48.798,2,18.032,20.444,-0.444,5.9776,0.4675,0.7863,1.0,0.0825,1.984,19.011
Car B,816,54.4,3,29.787,1,26.482,6.372,-0.482,5.5588,0.0318,4.8614,1.0,1.0,24.999,-19.011
Car A,817,54.4667,3,49.195,2,17.635,20.484,-0.484,5.9987,0.3156,0.7913,1.0,0.0824,2.063,19.034
Car B,817,54.4667,3,30.16,1,26.494,6.745,-0.494,5.5609,0.0311,4.8636,1.0,1.0,24.999,-19.034
Car A,818,54.5333,3,49.59,2,17.24,20.521,-0.521,5.9334,-0.9788,0.8049,1.0,0.0234,2.037,19.056
Car B,818,54.5333,3,30.534,1,26.485,7.119,-0.485,5.563,0.0311,4.8654,1.0,1.0,24.999,-19.056
Car A,819,54.6,3,49.986,2,16.845,20.557,-0.557,5.9852,0.776,0.2227,1.0,0.0829,0.58,19.079
Car B,819,54.6,3,30.906,1,26.455,7.491,-0.455,5.565,0.0304,4.8672,1.0,1.0,24.999,-19.079
Car A,820,54.6667,3,50.383,2,16.447,20.592,-0.592,5.9818,-0.0511,0.817,1.0,0.0268,2.07,19.106
Car B,820,54.6667,3,31.277,1,26.402,7.862,-0.402,5.567,0.0302,4.8677,1.0,-0.056,24.999,-19.106
Car A,821,54.7333,3,50.781,2,16.049,20.624,-0.624,6.0177,0.5396,0.2916,1.0,0.0722,0.665,19.136
Car B,821,54.7333,3,31.646,1,26.338,8.231,-0.338,5.6114,0.666,3.3941,1.0,-0.2045,-1.359,-19.136
Car A,822,54.8,3,51.181,2,15.649,20.655,-0.655,6.0323,0.2178,0.7244,1.0,0.031,1.803,19.164
Car B,822,54.8,3,32.017,1,26.277,8.602,-0.277,5.6477,0.5441,1.273,1.0,-0.2337,-5.108,-19.164
Car A,823,54.8667,3,51.581,2,15.249,20.684,-0.684,6.0196,-0.1895,0.2617,1.0,0.0382,0.766,19.19
Car B,823,54.8667,3,32.391,1,26.229,8.976,-0.229,5.6593,0.174,-0.07,1.0,-0.2512,-5.842,-19.19
Car A,824,54.9333,3,51.982,2,14.848,20.713,-0.713,6.0289,0.1388,0.3999,1.0,0.0118,0.939,19.215
Car B,824,54.9333,3,32.767,1,26.192,9.352,-0.192,5.6646,0.0795,-1.0632,1.0,-0.2482,-6.278,-19.215
Car A,825,55.0,3,52.382,2,14.448,20.742,-0.742,6.0145,-0.2159,0.1475,1.0,0.0069,0.295,19.238
Car B,825,55.0,3,33.144,1,26.168,9.729,-0.168,5.6784,0.2064,-1.7907,1.0,-0.1909,-6.205,-19.238
Car A,826,55.0667,3,52.782,2,14.049,20.771,-0.771,6.0051,-0.1402,0.0594,1.0,-0.0234,0.17,19.255
Car B,826,55.0667,3,33.526,1,26.154,10.111,-0.154,5.7751,1.4511,-1.5996,0.9417,-0.1428,-4.775,-19.255
Car A,827,55.1333,3,53.181,2,13.649,20.802,-0.802,6.0176,0.1869,-0.2667,1.0,0.0877,-0.568,19.271
Car B,827,55.1333,3,33.909,1,26.143,10.494,-0.143,5.7192,-0.8379,-1.2507,0.9951,-0.0076,-3.569,-19.271
Car A,828,55.2,3,53.581,2,13.249,20.83,-0.83,6.0139,-0.0548,0.6464,1.0,-0.0901,2.188,19.288
Car B,828,55.2,3,34.293,1,26.13,10.878,-0.13,5.7688,0.7429,-0.149,1.0,0.0774,-0.196,-19.288
Car A,829,55.2667,3,53.981,2,12.849,20.856,-0.856,6.0115,-0.0371,-0.2548,1.0,0.05,-2.246,19.302
Car B,829,55.2667,3,34.679,1,26.108,11.264,-0.108,5.8257,0.8535,0.6439,1.0,0.8322,1.931,-19.302
Car A,830,55.3333,3,54.38,2,12.45,20.885,-0.885,6.0084,-0.0452,0.4251,1.0,-0.0456,1.244,19.315
Car B,830,55.3333,3,35.066,1,26.075,11.651,-0.075,5.8251,-0.0086,1.1445,1.0,0.1607,20.776,-19.315
Car A,831,55.4,3,54.78,2,12.05,20.913,-0.913,6.0022,-0.0931,-0.4186,1.0,0.173,-1.135,19.327
Car B,831,55.4,3,35.453,1,26.037,12.038,-0.037,5.8372,0.1811,1.1209,1.0,0.0837,4.041,-19.327
Car A,832,55.4667,3,55.179,2,11.651,20.941,-0.941,6.0021,-0.0015,0.5124,1.0,-0.0316,4.316,19.337
Car B,832,55.4667,3,35.842,1,25.995,12.427,0.005,5.9013,0.9627,0.7857,0.9746,-0.4256,2.095,-19.337
Car A,833,55.5333,3,55.578,2,11.252,20.966,-0.966,6.0013,-0.0123,-0.2693,1.0,0.187,-0.782,19.345
Car B,833,55.5333,3,36.233,1,25.957,12.818,0.043,5.9017,0.0059,-0.3019,1.0,1.0,-10.619,-19.345
Car A,834,55.6,3,55.978,2,10.852,20.991,-0.991,6.0006,-0.0113,0.6393,1.0,-0.0069,4.665,19.354
Car B,834,55.6,3,36.624,1,25.921,13.209,0.079,5.8889,-0.1925,0.3821,1.0,1.0,24.946,-19.354
Car A,835,55.6667,3,56.377,2,10.453,21.013,-1.013,6.0018,0.0192,-0.0839,1.0,0.2326,-0.155,19.363
Car B,835,55.6667,3,37.014,1,25.876,13.599,0.124,5.8783,-0.1591,1.429,1.0,0.7604,24.999,-19.363
Car A,836,55.7333,3,56.777,2,10.053,21.034,-1.034,6.0,-0.0273,0.7907,1.0,-0.0289,5.806,19.376
Car B,836,55.7333,3,37.401,1,25.815,13.986,0.185,5.8684,-0.149,2.1273,1.0,0.2129,19.02,-19.376
Car A,837,55.8,3,57.177,2,9.654,21.05,-1.05,6.0022,0.0329,-0.0693,1.0,0.2634,-0.711,19.371
Car B,837,55.8,3,37.806,1,25.746,14.372,0.224,5.889,0.3089,1.7782,1.0,1.0,5.343,-19.371
Car A,838,55.8667,3,57.576,2,9.254,21.068,-1.068,5.9985,-0.0561,0.7288,1.0,0.003,6.573,19.381
Car B,838,55.8667,3,38.195,1,25.666,14.756,0.274,5.8834,-0.0841,2.0791,1.0,0.8885,24.97,-19.381
Car A,839,55.9333,3,57.976,2,8.854,21.082,-1.082,6.0021,0.0547,0.012,1.0,0.2841,0.1,19.344
Car B,839,55.9333,3,38.632,1,25.571,15.137,0.299,5.8649,-0.2762,2.9171,1.0,1.0,22.216,-19.344
Car A,840,56.0,3,58.376,2,8.454,21.094,-1.094,5.9993,-0.0418,0.9471,1.0,-0.1195,7.09,19.353
Car B,840,56.0,3,39.023,1,25.458,15.512,0.321,5.8541,-0.1619,3.3429,1.0,1.0,24.995,-19.353
Car A,841,56.0667,3,58.776,2,8.055,21.101,-1.101,6.0005,0.018,0.0192,1.0,0.2736,-2.971,19.309
Car B,841,56.0667,3,39.467,1,25.329,15.881,0.339,5.8445,-0.1439,3.6708,1.0,1.0,25.0,-19.309
Car A,842,56.1333,3,59.175,2,7.655,21.112,-1.112,5.9981,-0.0364,0.6722,1.0,0.055,6.826,19.317
Car B,842,56.1333,3,39.858,1,25.181,16.242,0.337,5.8361,-0.1262,3.9346,1.0,1.0,25.0,-19.317
Car A,843,56.2,3,59.576,2,7.254,21.117,-1.117,6.0313,0.4976,0.5613,1.0,0.0961,1.381,19.272
Car B,843,56.2,3,40.303,1,25.015,16.596,0.349,5.829,-0.1065,4.1293,1.0,1.0,25.0,-19.272
Car A,844,56.2667,3,59.977,2,6.853,21.117,-1.117,6.0273,-0.0592,0.9313,1.0,-0.141,2.4,19.284
Car B,844,56.2667,3,40.693,1,24.832,16.941,0.325,5.8229,-0.0927,4.2829,1.0,1.0,24.999,-19.284
Car A,845,56.3333,3,60.379,2,6.451,21.117,-1.117,6.0282,0.0132,-0.1888,1.0,0.2409,-3.517,19.296
Car B,845,56.3333,3,41.083,1,24.631,17.275,0.322,5.8175,-0.0798,4.4057,1.0,1.0,24.999,-19.296
Car A,846,56.4,3,60.781,2,6.049,21.122,-1.122,6.026,-0.0325,0.4984,1.0,0.0532,6.007,19.259
Car B,846,56.4,3,41.522,1,24.413,17.598,0.29,5.8129,-0.0692,4.5003,1.0,1.0,24.999,-19.259
Car A,847,56.4667,3,61.182,2,5.648,21.119,-1.119,5.9846,-0.6212,0.5642,1.0,-0.0429,1.336,19.271
Car B,847,56.4667,3,41.911,1,24.177,17.908,0.267,5.809,-0.0595,4.5755,1.0,1.0,24.999,-19.271
Car A,848,56.5333,3,61.581,2,5.249,21.12,-1.12,5.9843,-0.0049,-0.4084,1.0,0.264,-1.068,19.242
Car B,848,56.5333,3,42.339,1,23.926,18.205,0.234,5.8054,-0.0536,4.6343,1.0,1.0,24.999,-19.242
Car A,849,56.6,3,61.98,2,4.85,21.121,-1.121,5.9845,0.0031,0.5423,1.0,-0.0287,6.587,19.254
Car B,849,56.6,3,42.726,1,23.659,18.488,0.192,5.8022,-0.047,4.6808,1.0,1.0,24.999,-19.254
Car A,850,56.6667,3,62.379,2,4.451,21.119,-1.119,5.9876,0.0461,-0.2506,1.0,0.2008,-0.706,19.238
Car B,850,56.6667,3,43.141,1,23.376,18.756,0.162,5.7994,-0.043,4.7168,1.0,1.0,24.999,-19.238
Car A,851,56.7333,3,62.778,2,4.052,21.117,-1.117,5.9862,-0.0211,0.6503,1.0,-0.1208,5.01,19.253
Car B,851,56.7333,3,43.525,1,23.08,19.008,0.102,5.7968,-0.0385,4.7469,1.0,1.0,24.999,-19.253
Car A,852,56.8,3,63.177,2,3.653,21.111,-1.111,5.9868,0.0091,-0.1649,1.0,0.1271,-3.008,19.265
Car B,852,56.8,3,43.912,1,22.77,19.243,0.064,5.7945,-0.0347,4.7724,1.0,1.0,24.999,-19.265
Car A,853,56.8667,3,63.576,2,3.254,21.108,-1.108,5.9871,0.0048,0.5026,1.0,-0.0891,3.167,19.272
Car B,853,56.8667,3,44.304,1,22.448,19.46,-0.0,5.7924,-0.0317,4.7904,1.0,1.0,24.999,-19.272
Car A,854,56.9333,3,63.975,2,2.855,21.102,-1.102,5.9859,-0.0182,-0.2797,1.0,0.1139,-2.219,19.287
Car B,854,56.9333,3,44.688,2,22.115,19.66,-0.057,5.7903,-0.0311,4.806,1.0,1.0,24.999,-19.287
Car A,855,57.0,3,64.374,2,2.456,21.099,-1.099,5.985,-0.0138,0.4363,1.0,-0.0913,2.839,19.315
Car B,855,57.0,3,45.059,2,21.771,19.84,-0.11,5.7884,-0.0288,4.8163,1.0,1.0,24.999,-19.315
Car A,856,57.0667,3,64.773,2,2.057,21.093,-1.093,5.9847,-0.0039,-0.3313,1.0,0.1004,-2.274,19.333
Car B,856,57.0667,3,45.44,2,21.417,20.001,-0.184,5.7866,-0.0265,4.8258,1.0,1.0,24.999,-19.333
Car A,857,57.1333,3,65.172,2,1.658,21.09,-1.09,5.9835,-0.0187,0.3968,1.0,-0.0975,2.502,19.347
Car B,857,57.1333,3,45.825,2,21.056,20.141,-0.237,5.7848,-0.0267,4.834,1.0,1.0,24.999,-19.347
Car A,858,57.2,3,65.571,2,1.259,21.084,-1.084,5.983,-0.007,-0.3648,1.0,0.094,-2.43,19.405
Car B,858,57.2,3,46.166,2,20.687,20.262,-0.315,5.7832,-0.0241,4.8395,1.0,1.0,24.999,-19.405
Car A,859,57.2667,3,65.97,2,0.861,21.081,-1.081,5.9825,-0.0075,0.3886,1.0,-0.1193,2.342,19.422
Car B,859,57.2667,3,46.548,2,20.312,20.361,-0.385,5.7816,-0.024,4.8432,1.0,1.0,24.999,-19.422
Car A,860,57.3333,3,66.368,2,0.462,21.075,-1.075,5.9815,-0.0143,-0.366,1.0,0.0823,-2.973,19.47
Car B,860,57.3333,3,46.898,2,19.932,20.44,-0.44,5.7801,-0.0234,4.8469,1.0,1.0,24.999,-19.47
Car A,861,57.4,3,66.767,2,0.063,21.072,-1.072,5.9818,0.0044,0.3627,1.0,-0.1288,2.049,19.485
Car B,861,57.4,3,47.282,2,19.548,20.497,-0.497,5.7786,-0.0221,4.8496,1.0,1.0,24.999,-19.485
Car A,862,57.4667,3,67.166,2,-0.335,21.066,-1.066,5.9798,-0.0307,-0.4035,1.0,0.0775,-3.21,19.498
Car B,862,57.4667,3,47.668,2,19.162,20.532,-0.532,5.7771,-0.0222,4.8516,1.0,1.0,24.999,-19.498
Car A,863,57.5333,3,67.564,2,-0.734,21.064,-1.064,5.9806,0.012,0.3483,1.0,-0.1331,1.93,19.509
Car B,863,57.5333,3,48.055,2,18.775,20.546,-0.546,5.7757,-0.0213,4.8532,1.0,1.0,24.999,-19.509
Car A,864,57.6,3,67.963,2,-1.133,21.059,-1.059,5.9788,-0.0273,-0.4185,1.0,0.0788,-3.32,19.52
Car B,864,57.6,3,48.442,2,18.388,20.538,-0.538,5.7742,-0.022,4.8544,1.0,1.0,24.999,-19.52
Car A,865,57.6667,3,68.361,2,-1.531,21.057,-1.057,5.9798,0.0151,0.3512,1.0,-0.1423,1.962,19.532
Car B,865,57.6667,3,48.829,2,18.001,20.509,-0.509,5.7729,-0.0203,4.8557,1.0,1.0,24.999,-19.532
