car,step,t_s,lap,lap_dist_m,sector,x_m,y_m,lateral_m,speed_mps,accel_long_mps2,accel_lat_mps2,throttle_cmd,steer_cmd,steer_deg,gap_m
Car A,24,1.6,1,1.543,1,1.543,1.0,1.0,1.7545,1.6779,0.7573,1.0,0.5353,24.953,-0.419
Car B,24,1.6,1,1.962,1,1.962,-0.77,-0.77,2.551,0.7974,-0.8774,1.0,-1.0,-17.803,0.419
Car A,25,1.6667,1,1.665,1,1.665,1.036,1.036,1.722,-0.4878,1.5521,1.0,-0.5053,13.401,-0.467
Car B,25,1.6667,1,2.131,1,2.131,-0.786,-0.786,2.3916,-2.3915,-2.4548,1.0,0.324,-24.989,0.467
Car A,26,1.7333,1,1.792,1,1.792,1.06,1.06,1.8998,2.6667,1.252,1.0,-0.738,-12.593,-0.508
Car B,26,1.7333,1,2.3,1,2.3,-0.804,-0.804,2.4576,0.9898,-2.307,1.0,1.0,8.05,0.508
Car A,27,1.8,1,1.927,1,1.927,1.076,1.076,2.0583,2.377,0.8422,1.0,-1.0,-18.441,-0.544
Car B,27,1.8,1,2.471,1,2.471,-0.828,-0.828,2.5161,0.878,-2.0757,0.4446,1.0,24.975,0.544
Car A,28,1.8667,1,2.069,1,2.069,1.081,1.081,2.1598,1.5226,0.3715,1.0,-1.0,-24.99,-0.574
Car B,28,1.8667,1,2.643,1,2.643,-0.855,-0.855,2.5668,0.7605,-1.8704,1.0,1.0,25.0,0.574
Car A,29,1.9333,1,2.216,1,2.216,1.076,1.076,2.2246,0.9724,-0.0467,0.833,-1.0,-25.0,-0.606
Car B,29,1.9333,1,2.822,1,2.822,-0.877,-0.877,2.8023,3.5319,-0.7382,1.0,1.0,24.999,0.606
Car A,30,2.0,1,2.365,1,2.365,1.06,1.06,2.2604,0.5367,-0.4864,0.1523,-1.0,-25.0,-0.647
Car B,30,2.0,1,3.012,1,3.012,-0.881,-0.881,2.8682,0.9886,-0.1041,1.0,1.0,25.0,0.647
Car A,31,2.0667,1,2.507,1,2.507,1.033,1.033,2.0968,-2.4538,-0.7138,-0.0457,-1.0,-24.999,-0.698
Car B,31,2.0667,1,3.205,1,3.205,-0.873,-0.873,2.9083,0.6014,0.4386,1.0,1.0,25.0,0.698
Car A,32,2.1333,1,2.638,1,2.638,1.005,1.005,1.9316,-2.4784,-0.5211,0.0414,-1.0,-25.0,-0.762
Car B,32,2.1333,1,3.399,1,3.4,-0.854,-0.854,2.9339,0.3851,0.9464,1.0,1.0,25.0,0.762
Car A,33,2.2,1,2.757,1,2.757,0.977,0.977,1.754,-2.6638,-0.4707,0.1584,-1.0,-25.0,-0.837
Car B,33,2.2,1,3.594,1,3.594,-0.821,-0.821,2.9512,0.2594,1.401,1.0,0.741,25.0,0.837
Car A,34,2.2667,1,2.865,1,2.865,0.945,0.945,1.6064,-2.2141,-0.5884,0.632,-1.0,-24.999,-0.926
Car B,34,2.2667,1,3.791,1,3.791,-0.777,-0.777,3.0321,1.2134,1.6117,1.0,0.0118,18.535,0.926
Car A,35,2.3333,1,2.97,1,2.97,0.906,0.906,1.6981,1.3764,-0.7072,1.0,-0.7901,-25.0,-1.022
Car B,35,2.3333,1,3.992,1,3.992,-0.729,-0.729,3.1157,1.2543,0.9815,1.0,-0.2563,0.323,1.022
Car A,36,2.4,1,3.082,1,3.082,0.864,0.864,1.8209,1.8413,-0.6426,1.0,-0.2419,-19.761,-1.117
Car B,36,2.4,1,4.199,1,4.199,-0.691,-0.691,3.1716,0.837,0.2737,1.0,-0.5658,-6.398,1.117
Car A,37,2.4667,1,3.202,1,3.202,0.823,0.823,1.9209,1.5,-0.3561,1.0,0.7922,-6.069,-1.208
Car B,37,2.4667,1,4.41,1,4.41,-0.663,-0.663,3.2083,0.5511,-0.3607,1.0,-0.0983,-14.134,1.208
Car A,38,2.5333,1,3.332,1,3.332,0.818,0.818,1.9927,1.0773,1.2915,1.0,1.0,19.766,-1.295
Car B,38,2.5333,1,4.627,1,4.627,-0.664,-0.664,3.1956,-0.1904,1.9763,1.0,-0.4534,-2.474,1.295
Car A,39,2.6,1,3.472,1,3.473,0.825,0.825,2.1304,2.0647,1.1229,1.0,0.415,24.992,-1.374
Car B,39,2.6,1,4.847,1,4.847,-0.665,-0.665,3.2572,0.9236,0.4567,1.0,-0.9229,-11.32,1.374
Car A,40,2.6667,1,3.621,1,3.621,0.83,0.83,2.2401,1.6458,0.7586,1.0,-0.8159,10.397,-1.447
Car B,40,2.6667,1,5.068,1,5.068,-0.664,-0.664,3.2546,-0.0391,-1.0424,1.0,0.2064,-23.054,1.447
Car A,41,2.7333,1,3.776,1,3.776,0.826,0.826,2.4239,2.7572,1.076,1.0,-0.8034,-20.35,-1.509
Car B,41,2.7333,1,5.285,1,5.285,-0.658,-0.658,3.1329,-1.8244,-0.6161,1.0,0.9376,5.117,1.509
Car A,42,2.8,1,3.944,1,3.944,0.833,0.833,2.5715,2.2139,0.9749,1.0,-1.0,-20.085,-1.549
Car B,42,2.8,1,5.493,1,5.493,-0.64,-0.64,3.1322,-0.0104,-0.0373,1.0,0.002,23.411,1.549
Car A,43,2.8667,1,4.125,1,4.125,0.849,0.849,2.7326,2.417,0.9963,1.0,-1.0,-24.992,-1.573
Car B,43,2.8667,1,5.698,1,5.698,-0.615,-0.615,3.1551,0.3425,-0.3577,1.0,0.1657,0.086,1.573
Car A,44,2.9333,1,4.312,1,4.312,0.86,0.86,2.8513,1.7807,0.8551,1.0,-1.0,-25.0,-1.597
Car B,44,2.9333,1,5.909,1,5.909,-0.583,-0.583,3.2315,1.1458,0.2576,1.0,0.0117,4.136,1.597
Car A,45,3.0,1,4.506,1,4.506,0.876,0.876,2.9447,1.4012,0.8473,1.0,-1.0,-25.0,-1.62
Car B,45,3.0,1,6.126,1,6.126,-0.547,-0.547,3.3532,1.8261,0.0277,1.0,-0.0544,0.299,1.62
Car A,46,3.0667,1,4.707,1,4.707,0.895,0.895,3.056,1.6692,0.8359,1.0,-1.0,-25.0,-1.645
Car B,46,3.0667,1,6.352,1,6.352,-0.513,-0.513,3.472,1.7813,-0.1725,1.0,-0.0922,-1.357,1.645
Car A,47,3.1333,1,4.914,1,4.914,0.913,0.913,3.131,1.1242,0.6126,1.0,-1.0,-25.0,-1.673
Car B,47,3.1333,1,6.587,1,6.587,-0.482,-0.482,3.6134,2.1216,-0.3537,1.0,-0.1028,-2.304,1.673
Car A,48,3.2,1,5.124,1,5.124,0.931,0.931,3.1854,0.8162,0.5007,1.0,-1.0,-25.0,-1.709
Car B,48,3.2,1,6.833,1,6.833,-0.452,-0.452,3.7841,2.5607,-0.4185,1.0,-0.165,-2.57,1.709
Car A,49,3.2667,1,5.338,1,5.338,0.949,0.949,3.239,0.8043,0.344,1.0,-1.0,-25.0,-1.752
Car B,49,3.2667,1,7.09,1,7.09,-0.426,-0.426,3.9327,2.2284,-0.6452,1.0,-0.0907,-4.123,1.752
Car A,50,3.3333,1,5.555,1,5.555,0.968,0.968,3.2896,0.7592,0.2973,1.0,-1.0,-25.0,-1.802
Car B,50,3.3333,1,7.357,1,7.357,-0.4,-0.4,4.0789,2.1926,-0.4275,1.0,-0.353,-2.271,1.802
Car A,51,3.4,1,5.776,1,5.776,0.987,0.987,3.3348,0.6777,0.2242,1.0,-1.0,-25.0,-1.856
Car B,51,3.4,1,7.632,1,7.632,-0.378,-0.378,4.1467,1.0185,-1.0225,1.0,0.3552,-8.816,1.856
Car A,52,3.4667,1,5.999,1,5.999,1.005,1.005,3.376,0.6186,0.1113,1.0,-1.0,-25.0,-1.91
Car B,52,3.4667,1,7.909,1,7.91,-0.361,-0.361,4.1858,0.5859,-0.3919,1.0,-0.0581,8.851,1.91
Car A,53,3.5333,1,6.225,1,6.225,1.024,1.024,3.4157,0.5943,0.1372,1.0,-1.0,-25.0,-1.966
Car B,53,3.5333,1,8.191,1,8.191,-0.338,-0.338,4.275,1.3382,-0.3339,1.0,-0.1482,-1.437,1.966
Car A,54,3.6,1,6.453,1,6.454,1.042,1.042,3.4529,0.5589,0.0851,1.0,-1.0,-25.0,-2.025
Car B,54,3.6,1,8.479,1,8.479,-0.319,-0.319,4.3615,1.2967,-0.6277,1.0,-0.0685,-3.703,2.025
Car A,55,3.6667,1,6.684,1,6.685,1.06,1.06,3.4903,0.56,0.0224,1.0,-1.0,-25.0,-2.089
Car B,55,3.6667,1,8.773,1,8.773,-0.302,-0.302,4.4624,1.5133,-0.3346,1.0,-0.1993,-1.716,2.089
Car A,56,3.7333,1,6.918,1,6.918,1.078,1.078,3.5275,0.5593,0.0104,1.0,-1.0,-25.0,-2.154
Car B,56,3.7333,1,9.072,1,9.072,-0.287,-0.287,4.4967,0.5158,-0.7461,1.0,-0.0108,-4.978,2.154
Car A,57,3.8,1,7.154,1,7.154,1.096,1.096,3.5644,0.5535,-0.0851,1.0,-1.0,-25.0,-2.219
Car B,57,3.8,1,9.373,1,9.373,-0.273,-0.273,4.5434,0.6998,-0.1012,1.0,-0.0849,-0.277,2.219
Car A,58,3.8667,1,7.393,1,7.393,1.108,1.108,3.5945,0.4506,-0.5849,1.0,-1.0,-25.0,-2.287
Car B,58,3.8667,1,9.68,1,9.68,-0.258,-0.258,4.6459,1.5371,-0.4408,1.0,-0.1336,-2.12,2.287
Car A,59,3.9333,1,7.634,1,7.634,1.108,1.108,3.6133,0.2819,-1.1818,0.953,-1.0,-25.0,-2.361
Car B,59,3.9333,1,9.994,1,9.994,-0.249,-0.249,4.765,1.7866,-0.7595,1.0,-0.1523,-3.338,2.361
Car A,60,4.0,1,7.875,1,7.876,1.094,1.094,3.6232,0.1487,-1.7079,0.9429,-1.0,-25.0,-2.442
Car B,60,4.0,1,10.317,1,10.317,-0.245,-0.245,4.8933,1.9245,-0.9033,1.0,-0.0581,-3.807,2.442
Car A,61,4.0667,1,8.117,1,8.117,1.066,1.066,3.6305,0.1093,-2.1596,0.9222,-1.0,-25.0,-2.531
Car B,61,4.0667,1,10.648,1,10.648,-0.242,-0.242,5.0078,1.717,-0.4073,1.0,-0.3897,-1.456,2.531
Car A,62,4.1333,1,8.358,1,8.358,1.021,1.021,3.6397,0.1381,-2.5491,0.9068,-1.0,-24.999,-2.626
Car B,62,4.1333,1,10.984,1,10.984,-0.243,-0.243,5.0483,0.6076,-1.102,1.0,0.6445,-9.73,2.626
Car A,63,4.2,1,8.597,1,8.597,0.961,0.961,3.655,0.2293,-2.873,1.0,-1.0,-24.999,-2.724
Car B,63,4.2,1,11.321,1,11.321,-0.247,-0.247,5.0603,0.1809,-0.4238,1.0,-0.1465,16.073,2.724
Car A,64,4.2667,1,8.834,1,8.834,0.883,0.883,3.6936,0.5802,-3.12,1.0,-0.5559,-25.0,-2.825
Car B,64,4.2667,1,11.659,1,11.659,-0.25,-0.25,5.0746,0.2139,-0.48,1.0,0.0561,-3.633,2.825
Car A,65,4.3333,1,9.072,1,9.072,0.796,0.796,3.8043,1.6604,-2.3646,1.0,-0.4283,-13.915,-2.928
Car B,65,4.3333,1,12.0,1,12.0,-0.255,-0.255,5.135,0.906,0.0265,1.0,0.0609,1.394,2.928
Car A,66,4.4,1,9.318,1,9.318,0.711,0.711,3.943,2.08,-1.6674,1.0,0.6609,-10.714,-3.029
Car B,66,4.4,1,12.347,1,12.347,-0.251,-0.251,5.2518,1.7531,0.4274,1.0,0.0692,1.522,3.029
Car A,67,4.4667,1,9.57,1,9.57,0.629,0.629,3.9929,0.749,-0.8554,1.0,1.0,16.48,-3.132
Car B,67,4.4667,1,12.703,1,12.703,-0.244,-0.244,5.3878,2.0386,0.5286,1.0,-0.0605,1.729,3.132
Car A,68,4.5333,1,9.827,1,9.827,0.555,0.555,4.0269,0.5093,0.1885,1.0,1.0,24.987,-3.237
Car B,68,4.5333,1,13.065,1,13.065,-0.24,-0.24,5.4547,1.0044,-0.3131,1.0,-0.0768,-1.507,3.237
Car A,69,4.6,1,10.09,1,10.09,0.493,0.493,4.0456,0.2814,0.9198,1.0,1.0,25.0,-3.344
Car B,69,4.6,1,13.433,1,13.434,-0.243,-0.243,5.5789,1.8627,-0.6306,1.0,-0.0084,-1.92,3.344
Car A,70,4.6667,1,10.356,1,10.356,0.445,0.445,4.0574,0.1759,1.5377,1.0,1.0,25.0,-3.453
Car B,70,4.6667,1,13.809,1,13.81,-0.247,-0.247,5.6856,1.6,-0.0631,1.0,-0.1918,-0.212,3.453
Car A,71,4.7333,1,10.626,1,10.626,0.41,0.41,4.0654,0.1211,2.0549,1.0,1.0,25.0,-3.563
Car B,71,4.7333,1,14.189,1,14.189,-0.253,-0.253,5.692,0.0963,-0.8785,1.0,0.6489,-4.788,3.563
Car A,72,4.8,1,10.898,1,10.898,0.391,0.391,4.0726,0.1074,2.5052,1.0,1.0,25.0,-3.67
Car B,72,4.8,1,14.568,1,14.568,-0.262,-0.262,5.6928,0.0122,-0.2348,1.0,0.1911,16.19,3.67
