car,step,t_s,lap,lap_dist_m,sector,x_m,y_m,lateral_m,speed_mps,accel_long_mps2,accel_lat_mps2,throttle_cmd,steer_cmd,steer_deg,gap_m
Car A,24,1.6,1,1.998,1,1.998,-0.817,-0.817,2.6773,1.904,-0.5066,1.0,-0.1814,-6.585,0.502
Car B,24,1.6,1,1.496,1,1.497,1.008,1.008,1.538,1.9257,0.4064,1.0,0.8292,17.627,-0.502
Car A,25,1.6667,1,2.179,1,2.179,-0.779,-0.779,2.8133,2.0402,-0.3984,1.0,-0.6848,-4.537,0.575
Car B,25,1.6667,1,1.604,1,1.604,0.999,0.999,1.6338,1.4367,0.5584,1.0,0.4147,20.725,-0.575
Car A,26,1.7333,1,2.366,1,2.366,-0.745,-0.745,2.8657,0.7858,-0.8178,1.0,-0.8272,-17.1,0.648
Car B,26,1.7333,1,1.718,1,1.718,0.99,0.99,1.7435,1.6454,0.3531,1.0,0.5995,10.384,-0.648
Car A,27,1.8,1,2.558,1,2.558,-0.723,-0.723,2.89,0.3642,-1.2675,1.0,-0.2323,-20.674,0.719
Car B,27,1.8,1,1.838,1,1.838,0.979,0.979,1.8498,1.5943,0.512,1.0,0.4897,14.981,-0.719
Car A,28,1.8667,1,2.753,1,2.753,-0.706,-0.706,2.9656,1.1338,-0.7916,1.0,-0.1769,-5.832,0.786
Car B,28,1.8667,1,1.967,1,1.968,0.97,0.97,1.985,2.0285,0.4677,1.0,0.4494,12.247,-0.786
Car A,29,1.9333,1,2.955,1,2.955,-0.68,-0.68,3.0936,1.9206,-0.4717,1.0,0.4939,-4.425,0.85
Car B,29,1.9333,1,2.105,1,2.105,0.961,0.961,2.112,1.9043,0.5348,1.0,0.3806,11.235,-0.85
Car A,30,2.0,1,3.162,1,3.162,-0.649,-0.649,3.1566,0.9454,0.1031,1.0,-0.8689,12.321,0.91
Car B,30,2.0,1,2.252,1,2.252,0.952,0.952,2.2512,2.0887,0.4854,1.0,-0.09,9.517,-0.91
Car A,31,2.0667,1,3.371,1,3.371,-0.615,-0.615,3.1828,0.3923,-0.2361,1.0,-0.1701,-21.672,0.965
Car B,31,2.0667,1,2.406,1,2.406,0.939,0.939,2.3344,1.2475,0.1461,1.0,-1.0,-2.232,-0.965
Car A,32,2.1333,1,3.585,1,3.585,-0.584,-0.584,3.3069,1.8613,-0.2928,1.0,-0.3831,-4.278,1.023
Car B,32,2.1333,1,2.562,1,2.562,0.915,0.915,2.3783,0.6577,-0.2173,0.8476,-1.0,-24.966,-1.023
Car A,33,2.2,1,3.807,1,3.807,-0.559,-0.559,3.3667,0.897,-0.8322,1.0,0.5269,-9.569,1.089
Car B,33,2.2,1,2.718,1,2.718,0.88,0.88,2.408,0.4462,-0.7599,0.9395,-1.0,-25.0,-1.089
Car A,34,2.2667,1,4.035,1,4.035,-0.55,-0.55,3.4216,0.8241,-0.9834,1.0,0.2607,13.139,1.163
Car B,34,2.2667,1,2.872,1,2.872,0.87,0.87,2.3166,-1.3709,0.5831,1.0,0.221,-25.0,-1.163
Car A,35,2.3333,1,4.265,1,4.265,-0.543,-0.543,3.4213,-0.0046,0.733,1.0,-0.8038,6.527,1.231
