#{"t_start": 1789579206.8329842, "env_id": "None"}
r,l,t
-125.826641,97,302.032512
-51.377167,51,302.70442
-56.211031,53,303.369162
-49.94543,47,303.938305
-44.819649,61,304.675463
-60.187172,45,305.223792
-43.309934,57,305.915876
-43.854506,47,306.490285
-45.91726,45,307.036431
-50.496704,42,307.547371
-55.573641,50,308.154499
-44.408115,56,308.831297
-59.828092,52,309.461681
-49.231771,48,310.05016
-49.109721,49,310.642176
-63.53914,59,311.361756
-60.710548,50,311.966909
-75.648387,81,312.949956
-44.126573,46,313.512858
-50.331513,44,314.052249
-97.075746,89,315.13185
-44.556306,49,315.731444
-45.700619,47,316.302441
-50.53784,41,316.804418
-66.98588,79,317.763075
-45.11105,46,318.323205
-56.783218,60,319.059309
-41.37854,62,319.813533
-54.504686,54,320.468055
-64.037795,56,322.735595
-45.51735,40,323.223726
-54.353704,51,323.837132
-50.500695,47,324.397055
-189.834504,121,325.847446
-184.233035,164,327.813092
-42.939815,56,328.485318
-67.753678,65,329.267518
-45.536531,45,329.810339
-290.120187,500,335.992517
-649.730733,500,342.051737
-48.14417,47,342.627882
-45.564241,45,343.169754
-165.415533,91,344.269453
-55.100409,46,344.823308
-65.038161,67,345.633043
-50.158857,46,346.186065
-446.788572,500,353.70661
-172.753167,150,355.52123
-48.185408,58,356.225871
-47.992993,47,356.796691
-41.233595,64,357.639416
-45.419902,45,358.186333
-44.520517,43,358.706598
-52.148027,43,359.238003
-56.859552,55,359.912256
-63.848108,56,360.590544
-45.621827,44,361.132728
-48.396483,45,361.683012
-48.319713,48,362.27788
-60.207436,45,362.834961
-565.151524,500,369.015479
-44.629041,49,369.608648
-56.727177,56,370.292642
-47.195853,41,370.790858
-52.797192,50,371.401003
-40.97393,60,372.129861
-68.545851,62,372.883375
-611.39987,500,380.500592
-43.656053,48,381.08027
-449.976785,500,387.067785
-44.730891,51,387.681463
-41.796195,59,388.392396
-45.952616,45,388.936134
-38.704274,69,389.770659
-132.245451,140,391.448729
-51.940791,49,392.040195
-45.249849,44,392.569174
-160.943807,135,394.192766
-56.999939,54,394.843437
-46.196398,44,395.375355
-50.394574,44,395.907101
-60.528263,62,396.672716
-128.371552,124,398.194891
-44.939562,49,398.794321
-50.40062,42,399.307333
-45.20367,53,399.971492
-352.482184,305,405.029184
-39.299085,64,405.805483
-652.575848,500,411.853187
-663.655024,500,417.86212
-199.822272,170,419.998846
-44.010723,43,420.524578
-220.124997,129,422.090066
-42.873477,43,422.618322
-134.756275,113,423.988505
-43.205025,46,424.568683
-202.567156,177,428.228348
-45.171363,45,428.77794
-60.172776,49,429.373817
-155.735801,138,431.03162
-44.082731,46,431.587806
-45.801824,44,432.118103
-49.922562,54,432.779513
-43.410685,52,433.414162
-44.529099,55,434.080282
-52.279636,53,434.720141
-217.201767,154,436.581664
-45.19,53,437.232995
-102.088875,97,438.393317
-45.547332,45,438.9386
-43.99078,41,439.438098
-64.430556,53,440.081822
-45.618401,41,440.57948
-51.301293,41,441.07957
-42.415749,60,441.804687
-45.103722,44,442.334724
-52.278735,50,442.93558
-44.589926,49,443.530465
-38.726048,60,444.255877
-62.771743,50,444.855967
-142.446739,122,446.334927
-53.794807,50,446.936109
-49.392924,43,447.451949
-44.66021,45,447.9933
-62.410225,50,448.594257
-309.640723,500,456.12024
-254.081826,134,457.745179
-49.841669,55,458.40785
-43.791127,42,458.91885
-40.883786,59,459.635861
-111.304646,95,460.779248
-44.979416,49,461.372282
-43.9768,51,461.98512
-739.403172,500,467.990508
-45.317827,46,468.549205
-48.640645,45,469.093555
-44.666432,45,469.632196
-44.78492,45,470.177302
-42.886927,51,470.789136
-44.492322,44,471.32066
-355.614732,262,474.444866
-59.135841,47,475.017894
-52.316759,46,475.572609
-264.642077,162,477.554327
-51.705797,51,478.174376
-43.299693,52,480.241275
-45.85962,56,480.925838
-52.268338,45,481.511219
-46.63134,45,482.108278
-52.30545,57,482.839256
-254.37587,359,487.173239
-55.109188,53,487.818635
-50.71243,47,488.38446
-44.388546,44,488.920741
-52.767662,49,489.517251
-354.368114,500,495.577555
-56.868273,53,496.219256
-41.992735,53,496.860508
-47.283999,49,497.458849
-44.884323,44,497.999725
-43.127925,53,498.646705
-45.090437,46,499.207941
-42.812221,46,499.766405
-44.082813,45,500.311599
-44.525889,54,500.965162
-46.571367,44,501.498156
-61.757871,56,502.179585
-44.830398,46,502.743313
-208.196842,183,504.960778
-176.493819,150,508.238296
-42.14665,61,508.983366
-162.227422,146,510.74601
-42.855042,48,511.358884
-47.971,50,512.028224
-44.225368,45,512.614161
-45.411197,47,513.203027
-56.56899,53,513.846761
-45.879794,51,514.468458
-51.449351,49,515.060125
-164.336782,180,517.239088
-45.060716,63,518.019126
-44.924787,45,518.568791
-588.645075,500,524.638157
-45.83278,45,525.189096
-45.147093,42,525.701777
-45.161839,46,526.26475
-46.304366,45,526.817977
-44.507002,44,527.354265
-55.668787,43,527.88291
-44.478203,46,528.441117
-288.47766,187,530.70185
-615.945116,500,538.188766
-44.609223,44,538.722432
-47.719475,44,539.256357
-41.697295,61,539.999877
-48.662211,54,540.656839
-49.410326,41,541.180886
-582.533501,500,547.341542
-41.625694,57,548.037933
-121.180366,163,550.01619
-587.834178,500,556.115899
-45.704391,49,556.716403
-44.594073,44,557.251322
-45.124489,44,557.827322
-58.711091,48,559.903909
-58.598776,57,560.609952
-43.598904,53,561.262957
-40.941573,57,561.967698
-45.195961,41,562.479087
-40.950326,50,563.098284
-46.126556,44,563.64662
-49.119089,51,564.277395
-45.233181,40,564.776021
-285.581923,500,570.957734
-42.975726,52,571.649162
-43.7901,45,572.254707
-41.225051,54,572.953863
-43.138595,45,573.507755
-43.498021,47,574.081709
-106.099733,94,575.22323
-44.118561,49,575.821335
-48.715784,41,576.326175
-40.962138,58,577.034774
-107.207967,99,578.244375
-44.503059,41,578.747813
-41.305769,64,579.547477
-41.917518,59,580.36548
-60.283473,60,581.149114
-44.213608,41,581.661794
-52.65777,50,582.285085
-53.320083,49,582.90777
-44.698529,42,583.443249
-60.645371,61,584.201394
-50.765893,66,584.994284
