#{"t_start": 1789578084.8850145, "env_id": "None"}
r,l,t
-43.262966,57,4.547707
-54.250579,43,5.053741
-139.398441,131,6.59008
-229.842137,151,8.351686
-50.546403,44,8.873076
-44.225865,52,9.491034
-45.860931,44,10.012182
-265.859319,253,13.031173
-65.78745,59,13.81761
-45.886175,45,14.415064
-50.682655,52,15.02791
-212.958573,181,17.133274
-54.059407,50,17.720891
-596.314566,500,23.546422
-44.172432,54,24.17104
-44.810086,44,24.682941
-161.557345,213,27.123953
-691.441348,500,34.201509
-82.445051,57,34.865321
-43.963515,47,35.419054
-44.80907,47,35.970265
-45.026642,46,36.506485
-56.117078,45,37.031676
-45.266063,53,37.648881
-45.838118,45,38.173329
-45.278376,47,38.720658
-55.448023,50,39.303405
-353.406047,500,45.222504
-44.402235,52,45.832158
-67.993882,62,46.553586
-44.717272,48,47.110888
-321.495274,500,52.870932
-92.607395,88,55.171078
-136.414024,116,56.505875
-44.425736,50,57.084868
-62.015373,63,57.812487
-47.749441,44,58.325734
-45.566713,48,58.880883
-56.516886,45,59.403897
-52.699844,54,60.034515
-156.83134,105,61.246808
-149.7622,191,63.462561
-46.203299,44,63.974616
-59.706843,48,64.532756
-45.568746,40,64.999702
-273.322754,209,67.421444
-601.78033,500,73.312838
-48.297515,42,73.833722
-54.52619,45,74.375396
-433.154312,500,81.501088
-222.81399,177,83.572624
-46.544096,44,84.087692
-48.14117,53,84.700802
-51.994124,50,85.278761
-43.407446,46,85.813786
-53.709303,50,86.389844
-50.374217,47,86.934278
-43.934851,52,87.533909
-44.405742,46,88.069932
-43.287379,50,88.645989
-136.339479,174,90.63901
-333.260738,178,92.700276
-132.515063,117,94.053327
-67.656959,64,94.797334
-45.504906,62,95.518388
-60.678905,45,96.040105
-277.491796,500,101.840618
-66.558488,56,102.493519
-683.715203,500,109.672705
-50.098711,45,110.194081
-127.752911,175,112.211956
-60.602243,53,112.824891
-53.562988,49,113.393628
-43.396733,57,114.053223
-45.989655,67,114.826073
-290.053962,500,120.594896
-487.537644,479,126.143608
-47.137624,50,126.724923
-43.840136,45,127.249034
-52.191731,48,127.809218
-53.374005,46,128.344553
-44.983451,45,130.230112
-43.85117,60,130.924067
-51.399094,50,131.504834
-51.768369,48,132.065447
-51.834611,42,132.563498
-44.553701,44,133.124638
-147.715643,139,134.792676
-176.3771,143,136.432868
-46.070621,42,136.91978
-45.015849,45,137.441157
-43.753007,54,138.066849
-601.222965,500,143.836516
-63.091336,51,144.428063
-150.846557,137,146.000783
-49.585606,47,146.546359
-624.478675,500,152.313354
-43.534802,53,152.930686
-44.117528,49,153.499856
-44.666936,47,155.358132
-46.124165,42,155.847254
-51.979985,45,156.376942
-44.993145,41,156.857019
-129.105391,90,157.897528
-48.955405,42,158.386852
-43.872945,45,158.912513
-53.558722,48,159.470155
-45.019338,44,159.980713
-210.598117,150,161.715851
-44.648498,44,162.228446
-44.808089,46,162.783808
-48.352275,47,163.384191
-83.977466,73,164.302433
-54.604644,43,164.801412
-300.509941,500,170.561634
-45.487005,82,171.504277
-42.500036,47,172.046874
-54.491144,53,172.660053
-46.467439,44,173.170553
-51.475573,47,173.713003
-323.362926,500,180.849392
-45.426135,45,181.373854
-52.943537,57,182.038387
-67.47465,66,182.807193
-41.716092,59,183.493636
-46.121397,45,184.015873
-51.113159,45,184.539958
-113.049394,85,185.527087
-45.211143,52,186.136665
-222.528955,180,188.23298
-92.90421,138,189.83102
-46.576475,49,190.403754
-48.915893,47,190.951012
-42.283316,54,191.577231
-53.186465,44,192.08833
-117.381328,114,193.494389
-403.322026,485,199.12506
-64.800532,47,199.671971
-699.575525,500,206.80366
-50.129481,55,207.444178
-51.408177,68,208.232919
-51.150045,42,208.722486
-539.088239,500,214.528429
-44.258864,59,215.220714
-48.359126,44,215.73904
-678.027648,500,221.566566
-257.958675,154,223.417539
-85.597935,56,224.114746
-50.555741,54,224.751456
-44.863072,44,225.261857
-44.002258,47,225.807163
-50.307442,47,226.35114
-247.498837,220,228.878268
-46.231512,45,230.675869
-283.890115,500,236.448377
-254.049798,153,238.217252
-44.879968,46,238.755935
-44.144814,60,239.454961
-112.745504,107,240.696124
-187.0921,141,242.327296
-267.29111,237,245.07305
-47.611688,45,245.599993
-46.491232,45,246.126222
-48.078825,44,246.640224
-275.165051,500,252.447861
-42.416414,63,253.241938
-42.359091,55,253.948062
-43.208958,49,255.97332
-72.921093,79,256.930458
-71.916146,50,257.530234
-44.377865,49,258.120931
-44.013314,46,258.667725
-54.145958,51,259.293491
-48.373807,45,259.830293
-141.02174,127,261.394753
-44.419392,42,261.900318
-45.276716,42,262.405962
-773.660878,500,268.478985
-45.500778,46,269.028335
-44.596999,44,269.566211
-59.649287,48,270.182252
