#{"t_start": 1789594074.8588004, "env_id": "None"}
r,l,t
-61.269363,83,469.981891
-31.655209,500,471.046474
-105.15814,117,471.932916
99.94015,500,474.275729
103.48296,500,475.825779
58.59425,500,476.961421
-73.198235,500,477.950276
99.441864,500,487.654148
-142.87173,182,487.903735
95.6738,500,494.927575
-108.582146,500,495.493216
71.45287,500,496.160632
-48.452415,500,497.305978
-4.707316,500,498.240356
-46.377815,73,498.520973
-629.93146,500,499.865033
-67.42537,92,501.406914
-46.36492,60,502.117996
74.88314,500,502.281242
-60.406723,500,503.410664
-53.694427,116,503.654637
-282.28055,174,511.080123
108.5081,500,513.268192
-72.29112,500,514.302816
-66.4822,63,516.959172
-324.10483,500,521.939773
105.391014,500,524.558105
-46.012054,58,524.667329
-277.80463,500,526.147914
-44.79507,46,526.841679
112.15316,500,526.958429
107.84652,500,528.608062
62.973106,500,529.853577
-46.107773,43,529.921584
-44.101875,48,530.083364
-86.75975,500,530.15301
-217.17383,322,531.131132
-47.479492,44,532.070235
-41.605404,48,532.231415
-42.174244,52,533.571116
-47.965565,48,535.137665
-48.27056,52,535.479843
-52.735462,54,537.626415
117.437904,500,537.781308
-58.593643,72,541.756769
-500.41245,500,543.691776
-45.61341,52,544.173325
-45.10682,56,546.783972
-18.8997,288,549.366496
-48.05967,68,550.763532
-426.43027,500,551.404011
-49.41014,34,552.488113
-55.92228,500,553.146233
76.90719,500,555.386774
107.53361,500,556.834982
-529.9809,500,556.910009
-126.182655,500,562.139518
-42.71953,45,564.240723
-446.4119,500,564.49505
-45.60914,56,566.846062
-49.209812,61,567.321583
-45.44831,55,570.229145
-243.93604,500,570.48314
47.84746,500,576.08616
93.54025,500,578.07331
77.7401,500,579.051001
108.59799,500,579.671459
74.866135,500,581.118941
-86.505936,75,582.441217
-942.0542,500,583.444545
101.174835,500,583.520194
-80.938995,192,585.910023
-793.3792,500,593.889548
103.56862,500,596.731997
-694.86926,500,596.985523
-52.473267,44,598.988095
-650.06085,382,601.735911
-98.38837,500,605.456984
94.89297,500,606.073247
120.46667,500,607.514965
-474.58896,500,609.755407
-282.77087,500,609.824572
-741.8988,500,612.225122
-184.06451,136,619.363689
-649.51953,500,620.213832
-25.250147,500,623.089625
-85.97932,69,624.192809
-396.77026,500,625.368419
-225.90787,500,628.145245
45.262905,500,631.90274
-505.91266,500,632.527324
-118.3586,146,632.95815
117.001434,500,633.994437
-690.8855,500,635.427595
102.92199,500,635.494725
-106.30649,79,637.469791
-48.701206,42,638.213593
-419.01468,500,645.730093
57.23417,500,648.715901
-328.7353,500,650.646428
-118.59412,500,654.514304
-142.1233,500,658.242521
-118.54701,241,658.491509
92.18262,500,658.880752
119.33636,500,660.316834
117.027115,500,661.819283
113.61762,500,663.776109
-365.06668,500,664.5316
-54.30714,49,666.77292
95.83698,500,674.999353
93.62351,500,676.91747
-55.481407,77,680.556913
-502.62128,500,680.945043
118.22368,500,684.7019
117.81232,500,684.9462
-122.024864,500,685.32798
-614.4452,500,686.752146
-470.93088,500,688.245119
-66.43794,77,688.318244
-45.03554,51,689.158969
-625.7622,500,689.461588
16.554214,500,693.269079
-49.2428,73,693.380797
-244.68602,258,698.543987
-134.09198,168,698.842529
0.6113703,500,701.538846
-242.80238,178,702.44591
-48.384823,71,705.653229
-186.04686,142,706.270046
101.4678,500,707.12835
81.72723,500,707.543874
-47.732807,57,708.49146
-141.53331,152,711.273445
100.220985,500,711.997258
-55.254814,52,713.724091
-278.21777,475,713.787708
-56.204018,58,714.72491
-27.799963,500,715.018403
-50.437473,31,716.172298
-52.413177,40,717.730504
-135.02768,500,720.009126
-44.88533,59,722.698381
-571.9162,500,725.255147
-35.19647,500,732.879931
94.88733,500,733.678782
15.921302,500,734.065613
-192.92706,190,734.858413
-178.84265,500,734.970669
-55.506367,66,735.995247
-45.114174,52,738.287323
-8.000632,500,740.379967
-60.444706,500,740.445072
-93.95943,103,741.79685
-298.42856,500,742.810349
-523.12744,500,743.519332
-63.746468,71,743.770838
-837.4473,500,749.30109
-45.59001,51,752.439843
-38.7316,214,753.276482
-270.40454,198,753.571311
-49.455814,68,755.604775
-587.00757,467,759.111121
-98.64504,105,759.225364
-444.18094,500,760.309301
-56.910324,85,760.379919
68.48528,500,761.596652
69.53058,500,763.874358
-50.08351,53,764.033718
-302.63858,500,766.768755
-51.79396,58,769.519341
-25.492739,500,769.970649
-756.46326,500,770.235208
-48.32554,64,773.342994
-46.75547,56,773.408603
-96.63995,107,775.983971
-335.23303,279,779.322602
-756.4077,500,779.798897
-191.72153,207,783.730858
-3.5702617,500,785.609439
-0.16080153,500,785.723655
84.5377,500,786.815004
-352.9707,500,786.880615
-85.85446,160,787.59303
-47.506187,59,789.623648
18.671776,500,790.560173
-118.48762,94,792.722728
-99.29974,500,799.315486
101.24408,500,800.671353
114.20168,500,802.555026
-98.75923,127,802.675657
81.5571,500,805.541625
-433.67813,500,806.645591
