swap,seed,dxA,dxB,leader_label,leader_spot,margin_100,margin_200,margin_final,lead_changes,first_leader_label,min_dist250,contact_steps
0,0,0.021,0.104,B,inside,10.07,11.04,13.77,0,B,1.71,0
0,1,0.113,-0.484,A,outside,-0.71,-0.61,-3.22,0,A,1.49,0
0,2,-0.119,-0.143,B,inside,10.21,11.87,13.39,0,B,1.70,0
0,3,-0.312,-0.243,B,inside,10.47,10.90,13.36,0,B,1.74,0
0,4,-0.499,-0.370,B,inside,10.50,11.06,12.78,0,B,1.73,0
0,5,-0.418,0.431,B,inside,24.69,43.73,1.80,0,B,1.71,0
0,6,-0.163,0.101,B,inside,13.75,14.01,8.60,0,B,1.98,0
0,7,-0.429,0.316,B,inside,25.71,24.61,19.22,0,B,1.66,0
0,8,-0.333,0.313,B,inside,22.84,28.75,23.59,0,B,1.71,0
0,9,-0.443,-0.173,B,inside,9.65,10.18,12.53,0,B,1.77,0
0,10,-0.405,0.036,B,inside,10.11,11.67,10.54,0,B,1.80,0
0,11,-0.216,0.063,B,inside,9.36,9.20,11.73,0,B,1.71,0
1,0,0.021,0.104,A,inside,-11.83,-11.21,-13.83,0,A,1.66,0
1,1,0.113,-0.484,A,inside,-9.18,-9.89,-11.49,0,A,1.81,0
1,2,-0.119,-0.143,A,inside,-9.54,-11.00,-12.93,0,A,1.70,0
1,3,-0.312,-0.243,A,inside,-7.42,-7.90,-11.36,0,A,1.67,0
1,4,-0.499,-0.370,A,inside,-10.04,-9.57,-11.74,0,A,1.74,0
1,5,-0.418,0.431,A,inside,-0.27,-0.97,-12.23,0,A,1.43,0
1,6,-0.163,0.101,B,outside,4.40,10.81,13.03,0,B,1.56,0
1,7,-0.429,0.316,B,outside,0.48,2.73,0.79,0,B,1.45,0
1,8,-0.333,0.313,B,outside,2.14,2.17,5.64,0,B,1.65,0
1,9,-0.443,-0.173,B,outside,3.99,4.66,10.08,0,B,1.66,0
1,10,-0.405,0.036,B,outside,0.74,1.13,51.89,0,B,1.60,0
1,11,-0.216,0.063,B,outside,0.78,1.89,5.87,0,B,1.52,0
